RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.647 , 34.216 , 5.784  , 0.961   , 24.996  ,   0.0000
    2 , 16.645 , 34.216 , 5.786  , 0.883   , 24.996  ,   0.0000
    4 , 16.639 , 34.217 , 5.8    , 0.899   , 24.998  ,   0.0000
    5 , 16.658 , 34.221 , 5.819  , 0.914   , 24.997  ,   0.0000
    6 , 16.66  , 34.222 , 5.809  , 0.861   , 24.997  ,   0.0000
    8 , 16.649 , 34.221 , 5.826  , 0.962   , 24.999  ,   0.0000
   10 , 16.634 , 34.222 , 5.831  , 0.996   , 25.003  ,   0.0000
   12 , 16.652 , 34.222 , 5.836  , 0.995   , 24.999  ,   0.0000
   14 , 15.839 , 34.188 , 5.817  , 1.023   , 25.159  ,   0.0000
   15 , 14.627 , 34.155 , 5.604  , 0.938   , 25.401  ,   0.0000
   16 , 13.697 , 34.177 , 5.185  , 0.786   , 25.614  ,   0.0000
   18 , 13.059 , 34.274 , 4.186  , 0.419   , 25.819  ,   0.0000
   20 , 13.012 , 34.257 , 4.372  , 0.503   , 25.815  ,   0.0000
   22 , 12.863 , 34.248 , 4.282  , 0.444   , 25.837  ,   0.0000
   24 , 12.764 , 34.245 , 4.146  , 0.372   , 25.855  ,   0.0000
   25 , 12.737 , 34.244 , 4.141  , 0.385   , 25.859  ,   0.0000
   26 , 12.705 , 34.243 , 4.118  , 0.396   , 25.865  ,   0.0000
   28 , 12.603 , 34.244 , 3.977  , 0.384   , 25.886  ,   0.0000
   30 , 12.512 , 34.241 , 3.955  , 0.428   , 25.901  ,   0.0000
   35 , 12.274 , 34.298 , 3.56   , 0.49    , 25.992  ,   0.0000
   40 , 11.787 , 34.349 , 2.778  , 0.374   , 26.124  ,   0.0000
   45 , 11.666 , 34.353 , 2.541  , 0.345   , 26.149  ,   0.0000
   50 , 11.582 , 34.353 , 2.422  , 0.32    , 26.165  ,   0.0000
   55 , 11.464 , 34.359 , 2.226  , 0.278   , 26.192  ,   0.0000
