RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.301 , 33.141 , 6.182  , 3.455   , 24.252  ,   0.0000
    2 , 16.28  , 33.15  , 6.211  , 3.758   , 24.262  ,   0.0000
    4 , 16.086 , 33.257 , 6.23   , 4.135   , 24.399  ,   0.0000
    5 , 15.035 , 33.689 , 6.431  , 3.355   , 24.954  ,   0.0000
    6 , 14.149 , 33.888 , 6.569  , 2.628   , 25.294  ,   0.0000
    8 , 12.592 , 34.048 , 6.513  , 2.075   , 25.733  ,   0.0000
   10 , 11.643 , 34.136 , 3.813  , 2.975   , 25.985  ,   0.0000
   12 , 10.989 , 34.196 , 3.497  , 4.08    , 26.145  ,   0.0000
   14 , 10.782 , 34.213 , 2.381  , 6.579   , 26.202  ,   0.0000
   15 , 10.635 , 34.223 , 1.934  , 6.58    , 26.235  ,   0.0000
   16 , 10.519 , 34.231 , 1.637  , 7.389   , 26.262  ,   0.0000
   18 , 10.25  , 34.256 , 1.387  , 5.038   , 26.328  ,   0.0000
   20 , 9.959  , 34.285 , 1.154  , 2.826   , 26.4    ,   0.0000
   22 , 9.805  , 34.311 , 1.056  , 2.222   , 26.446  ,   0.0000
   24 , 9.785  , 34.322 , 0.722  , 3.019   , 26.459  ,   0.0000
   25 , 9.783  , 34.321 , 0.726  , 1.677   , 26.458  ,   0.0000
   26 , 9.783  , 34.321 , 0.734  , 2.64    , 26.458  ,   0.0000
