RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 17.898 , 34.235 , 5.567  , 0.282   , 24.711  ,   0.0000
    2 , 17.903 , 34.234 , 5.57   , 0.246   , 24.711  ,   0.0000
    4 , 17.848 , 34.236 , 5.544  , 0.269   , 24.726  ,   0.0000
    5 , 17.749 , 34.236 , 5.59   , 0.251   , 24.745  ,   0.0000
    6 , 17.711 , 34.237 , 5.592  , 0.274   , 24.759  ,   0.0000
    8 , 17.647 , 34.24  , 5.604  , 0.305   , 24.773  ,   0.0000
   10 , 17.688 , 34.237 , 5.596  , 0.282   , 24.765  ,   0.0000
   12 , 17.41  , 34.243 , 5.665  , 0.331   , 24.835  ,   0.0000
   14 , 17.241 , 34.247 , 5.718  , 0.348   , 24.883  ,   0.0000
   15 , 17.075 , 34.246 , 5.754  , 0.371   , 24.924  ,   0.0000
   16 , 16.766 , 34.239 , 5.826  , 0.403   , 24.993  ,   0.0000
   18 , 15.976 , 34.23  , 5.878  , 0.432   , 25.153  ,   0.0000
   20 , 15.529 , 34.223 , 5.856  , 0.572   , 25.258  ,   0.0000
   22 , 15.12  , 34.198 , 5.884  , 0.713   , 25.331  ,   0.0000
   24 , 14.499 , 34.175 , 5.874  , 0.717   , 25.444  ,   0.0000
   25 , 13.951 , 34.153 , 5.839  , 0.744   , 25.537  ,   0.0000
   26 , 13.639 , 34.134 , 5.726  , 0.753   , 25.593  ,   0.0000
   28 , 13.293 , 34.102 , 5.58   , 0.648   , 25.643  ,   0.0000
   30 , 12.862 , 34.082 , 5.335  , 0.66    , 25.709  ,   0.0000
   35 , 12.293 , 34.047 , 5.044  , 0.419   , 25.788  ,   0.0000
   40 , 11.939 , 34.061 , 4.693  , 0.286   , 25.872  ,   0.0000
   45 , 11.555 , 34.098 , 4.459  , 0.177   , 25.97   ,   0.0000
   50 , 11.414 , 34.143 , 4.012  , 0.126   , 26.033  ,   0.0000
   60 , 11.35  , 34.265 , 3.55   , 0.119   , 26.14   ,   0.0000
   70 , 11.398 , 34.335 , 2.988  , 0.106   , 26.185  ,   0.0000
   75 , 11.326 , 34.336 , 2.81   , 0.107   , 26.199  ,   0.0000
   80 , 11.172 , 34.339 , 2.725  , 0.106   , 26.229  ,   0.0000
   90 , 11.005 , 34.36  , 2.341  , 0.099   , 26.276  ,   0.0000
  100 , 10.833 , 34.439 , 1.728  , 0.091   , 26.368  ,   0.0000
  101 , 10.821 , 34.441 , 1.627  , 0.087   , 26.372  ,   0.0000
