RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 14.157 , 33.365 , 6.042  , 1.018   , 24.891  ,   0.0000
    2 , 14.166 , 33.365 , 6.066  , 0.884   , 24.889  ,   0.0000
    4 , 14.169 , 33.365 , 6.044  , 0.761   , 24.888  ,   0.0000
    5 , 14.169 , 33.365 , 6.041  , 0.97    , 24.888  ,   0.0000
    6 , 14.174 , 33.364 , 6.056  , 0.82    , 24.887  ,   0.0000
    8 , 14.17  , 33.365 , 6.057  , 0.932   , 24.888  ,   0.0000
   10 , 14.15  , 33.364 , 6.065  , 0.988   , 24.892  ,   0.0000
   12 , 13.981 , 33.362 , 6.093  , 1.406   , 24.927  ,   0.0000
   14 , 13.605 , 33.366 , 6.164  , 1.057   , 25.009  ,   0.0000
   15 , 13.356 , 33.381 , 6.238  , 1.24    , 25.059  ,   0.0000
   16 , 13.3   , 33.407 , 6.276  , 2.466   , 25.096  ,   0.0000
   18 , 13.173 , 33.462 , 5.901  , 1.585   , 25.167  ,   0.0000
   20 , 12.86  , 33.56  , 5.353  , 1.011   , 25.305  ,   0.0000
   22 , 12.273 , 33.717 , 4.855  , 1.002   , 25.543  ,   0.0000
   24 , 11.619 , 33.868 , 4.638  , 0.997   , 25.788  ,   0.0000
   25 , 11.042 , 33.946 , 4.491  , 0.984   , 25.936  ,   0.0000
   26 , 10.666 , 34.001 , 4.277  , 0.901   , 26.039  ,   0.0000
   28 , 10.412 , 34.025 , 3.13   , 0.884   , 26.124  ,   0.0000
   30 , 9.699  , 33.969 , 3.261  , 0.683   , 26.193  ,   0.0000
   35 , 9.6    , 34.025 , 2.971  , 0.419   , 26.26   ,   0.0000
   40 , 9.112  , 34.022 , 3.434  , 0.228   , 26.334  ,   0.0000
   45 , 9.112  , 34.066 , 3.109  , 0.18    , 26.368  ,   0.0000
   50 , 9.348  , 34.177 , 2.833  , 0.221   , 26.419  ,   0.0000
   60 , 9.335  , 34.246 , 2.128  , 0.229   , 26.474  ,   0.0000
   70 , 9.274  , 34.29  , 1.889  , 0.202   , 26.518  ,   0.0000
   75 , 9.256  , 34.336 , 1.6    , 0.184   , 26.557  ,   0.0000
   80 , 9.224  , 34.367 , 1.215  , 0.184   , 26.586  ,   0.0000
   90 , 9.169  , 34.37  , 1.129  , 0.191   , 26.598  ,   0.0000
  100 , 9.131  , 34.381 , 1.027  , 0.162   , 26.612  ,   0.0000
  120 , 9.077  , 34.386 , 0.829  , 0.161   , 26.625  ,   0.0000
  125 , 9.07   , 34.386 , 0.804  , 0.295   , 26.626  ,   0.0000
  140 , 9.066  , 34.386 , 0.77   , 0.162   , 26.627  ,   0.0000
  150 , 9.067  , 34.386 , 0.764  , 0.17    , 26.627  ,   0.0000
  151 , 9.066  , 34.386 , 0.766  , 0.164   , 26.627  ,   0.0000
