RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.521 , 34.241 , 6.05   , 1.355   , 25.044  ,   0.0000
    2 , 16.527 , 34.24  , 6.052  , 1.214   , 25.042  ,   0.0000
    4 , 16.528 , 34.241 , 6.04   , 1.299   , 25.042  ,   0.0000
    5 , 16.529 , 34.241 , 6.045  , 1.326   , 25.042  ,   0.0000
    6 , 16.528 , 34.241 , 6.032  , 1.376   , 25.043  ,   0.0000
    8 , 16.486 , 34.241 , 6.063  , 1.43    , 25.055  ,   0.0000
   10 , 16.01  , 34.243 , 6.132  , 1.669   , 25.163  ,   0.0000
   12 , 15.825 , 34.238 , 6.144  , 1.947   , 25.201  ,   0.0000
   14 , 15.719 , 34.237 , 6.098  , 1.977   , 25.224  ,   0.0000
   15 , 15.665 , 34.238 , 6.091  , 1.937   , 25.235  ,   0.0000
   16 , 15.652 , 34.239 , 6.066  , 2.249   , 25.24   ,   0.0000
   18 , 15.605 , 34.237 , 5.903  , 3.103   , 25.252  ,   0.0000
   20 , 15.305 , 34.234 , 5.827  , 3.836   , 25.314  ,   0.0000
   22 , 14.854 , 34.22  , 5.594  , 3.474   , 25.418  ,   0.0000
   24 , 14.07  , 34.213 , 5.538  , 3.34    , 25.564  ,   0.0000
   25 , 13.541 , 34.23  , 5.39   , 3.273   , 25.67   ,   0.0000
   26 , 13.253 , 34.243 , 5.011  , 2.415   , 25.755  ,   0.0000
   28 , 12.983 , 34.252 , 4.687  , 1.876   , 25.821  ,   0.0000
   30 , 12.394 , 34.266 , 4.48   , 1.6     , 25.931  ,   0.0000
   35 , 11.93  , 34.301 , 3.325  , 0.297   , 26.062  ,   0.0000
   40 , 11.609 , 34.313 , 3.124  , 0.171   , 26.129  ,   0.0000
   45 , 10.941 , 34.27  , 3.002  , 0.096   , 26.213  ,   0.0000
   50 , 10.887 , 34.3   , 2.962  , 0.064   , 26.25   ,   0.0000
   60 , 10.928 , 34.414 , 1.908  , 0.055   , 26.331  ,   0.0000
   70 , 10.65  , 34.446 , 1.411  , 0.052   , 26.405  ,   0.0000
   75 , 10.63  , 34.458 , 1.3    , 0.052   , 26.419  ,   0.0000
   80 , 10.581 , 34.488 , 0.983  , 0.051   , 26.45   ,   0.0000
   90 , 10.679 , 34.538 , 0.677  , 0.051   , 26.474  ,   0.0000
  100 , 10.577 , 34.562 , 0.52   , 0.053   , 26.509  ,   0.0000
  120 , 10.634 , 34.614 , 0.182  , 0.053   , 26.541  ,   0.0000
  125 , 10.574 , 34.617 , 0.173  , 0.059   , 26.553  ,   0.0000
  140 , 10.469 , 34.62  , 0.243  , 0.054   , 26.574  ,   0.0000
  150 , 10.441 , 34.62  , 0.235  , 0.051   , 26.579  ,   0.0000
  160 , 10.299 , 34.612 , 0.219  , 0.051   , 26.597  ,   0.0000
  170 , 10.206 , 34.603 , 0.224  , 0.051   , 26.605  ,   0.0000
  175 , 10.169 , 34.599 , 0.274  , 0.051   , 26.609  ,   0.0000
  180 , 10.162 , 34.599 , 0.291  , 0.051   , 26.611  ,   0.0000
  190 , 10.133 , 34.609 , 0.256  , 0.051   , 26.624  ,   0.0000
  200 , 9.953  , 34.597 , 0.283  , 0.051   , 26.645  ,   0.0000
  225 , 9.77   , 34.582 , 0.337  , 0.051   , 26.665  ,   0.0000
  250 , 9.618  , 34.572 , 0.252  , 0.051   , 26.682  ,   0.0000
  275 , 9.497  , 34.573 , 0.286  , 0.051   , 26.703  ,   0.0000
  282 , 9.468  , 34.571 , 0.295  , 0.051   , 26.706  ,   0.0000
