RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 17.618 , 34.271 , 5.724  , 0.27    , 24.807  ,   0.0000
    2 , 17.622 , 34.276 , 5.797  , 0.27    , 24.81   ,   0.0000
    4 , 17.634 , 34.275 , 5.767  , 0.267   , 24.806  ,   0.0000
    5 , 17.635 , 34.276 , 5.753  , 0.274   , 24.806  ,   0.0000
    6 , 17.631 , 34.277 , 5.745  , 0.266   , 24.808  ,   0.0000
    8 , 17.634 , 34.278 , 5.724  , 0.266   , 24.809  ,   0.0000
   10 , 17.499 , 34.276 , 5.779  , 0.252   , 24.852  ,   0.0000
   12 , 16.055 , 34.294 , 5.845  , 0.267   , 25.159  ,   0.0000
   14 , 15.187 , 34.309 , 5.672  , 0.313   , 25.389  ,   0.0000
   15 , 15.139 , 34.311 , 5.596  , 0.323   , 25.412  ,   0.0000
   16 , 15.033 , 34.311 , 5.551  , 0.316   , 25.436  ,   0.0000
   18 , 14.679 , 34.319 , 5.453  , 0.328   , 25.515  ,   0.0000
   20 , 14.284 , 34.322 , 5.138  , 0.307   , 25.612  ,   0.0000
   22 , 13.34  , 34.258 , 5.043  , 0.285   , 25.758  ,   0.0000
   24 , 12.143 , 34.196 , 4.727  , 0.21    , 25.925  ,   0.0000
   25 , 12.053 , 34.207 , 4.546  , 0.187   , 25.962  ,   0.0000
   26 , 11.973 , 34.212 , 4.478  , 0.179   , 25.984  ,   0.0000
   28 , 11.754 , 34.225 , 4.307  , 0.161   , 26.032  ,   0.0000
   30 , 11.621 , 34.256 , 3.995  , 0.158   , 26.081  ,   0.0000
   35 , 11.624 , 34.281 , 3.618  , 0.157   , 26.101  ,   0.0000
   40 , 11.603 , 34.313 , 3.492  , 0.157   , 26.13   ,   0.0000
   45 , 11.604 , 34.346 , 3.263  , 0.161   , 26.156  ,   0.0000
   50 , 11.566 , 34.356 , 3.045  , 0.18    , 26.17   ,   0.0000
   60 , 11.261 , 34.428 , 2.621  , 0.157   , 26.283  ,   0.0000
   70 , 11.168 , 34.502 , 1.692  , 0.133   , 26.358  ,   0.0000
   75 , 11.141 , 34.512 , 1.188  , 0.127   , 26.37   ,   0.0000
   80 , 11.208 , 34.54  , 1.082  , 0.125   , 26.384  ,   0.0000
   90 , 11.091 , 34.566 , 0.811  , 0.12    , 26.422  ,   0.0000
  100 , 11.043 , 34.596 , 0.571  , 0.12    , 26.453  ,   0.0000
  120 , 10.91  , 34.641 , 0.247  , 0.117   , 26.513  ,   0.0000
  125 , 10.839 , 34.636 , 0.217  , 0.115   , 26.521  ,   0.0000
  140 , 10.726 , 34.634 , 0.177  , 0.115   , 26.54   ,   0.0000
  150 , 10.708 , 34.634 , 0.168  , 0.117   , 26.543  ,   0.0000
  153 , 10.708 , 34.633 , 0.164  , 0.119   , 26.542  ,   0.0000
