RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.492 , 33.213 , 5.596  , 1.146   , 24.261  ,   0.0000
    2 , 16.492 , 33.214 , 5.611  , 1.295   , 24.262  ,   0.0000
    4 , 16.491 , 33.214 , 5.609  , 1.104   , 24.262  ,   0.0000
    5 , 16.491 , 33.214 , 5.615  , 0.876   , 24.262  ,   0.0000
    6 , 16.491 , 33.214 , 5.612  , 0.894   , 24.262  ,   0.0000
    8 , 16.491 , 33.214 , 5.617  , 1.519   , 24.262  ,   0.0000
   10 , 16.492 , 33.213 , 5.609  , 1.231   , 24.261  ,   0.0000
   12 , 16.493 , 33.213 , 5.614  , 0.898   , 24.261  ,   0.0000
   14 , 16.489 , 33.215 , 5.616  , 1.189   , 24.264  ,   0.0000
   15 , 16.472 , 33.223 , 5.614  , 1.179   , 24.274  ,   0.0000
   16 , 16.436 , 33.237 , 5.624  , 1.196   , 24.292  ,   0.0000
   18 , 15.724 , 33.314 , 5.762  , 1.705   , 24.513  ,   0.0000
   20 , 14.372 , 33.356 , 6.161  , 3.462   , 24.84   ,   0.0000
   22 , 12.703 , 33.48  , 6.054  , 4.99    , 25.273  ,   0.0000
   24 , 11.756 , 33.6   , 5.058  , 3.339   , 25.548  ,   0.0000
   25 , 11.473 , 33.618 , 4.86   , 3.912   , 25.614  ,   0.0000
   26 , 11.101 , 33.649 , 4.656  , 4.502   , 25.705  ,   0.0000
   28 , 10.724 , 33.686 , 4.392  , 2.852   , 25.802  ,   0.0000
   30 , 10.274 , 33.696 , 4.801  , 5.711   , 25.887  ,   0.0000
   35 , 9.834  , 33.738 , 4.819  , 0.991   , 25.994  ,   0.0000
   40 , 9.53   , 33.802 , 4.847  , 0.373   , 26.095  ,   0.0000
   45 , 9.344  , 33.873 , 4.674  , 0.14    , 26.181  ,   0.0000
   50 , 9.487  , 34.002 , 4.224  , 0.09    , 26.258  ,   0.0000
   60 , 9.743  , 34.141 , 2.913  , 0.061   , 26.324  ,   0.0000
   70 , 9.722  , 34.236 , 2.188  , 0.058   , 26.403  ,   0.0000
   75 , 9.67   , 34.255 , 2.024  , 0.062   , 26.426  ,   0.0000
   80 , 9.62   , 34.269 , 1.945  , 0.055   , 26.445  ,   0.0000
   90 , 9.554  , 34.308 , 1.732  , 0.068   , 26.486  ,   0.0000
  100 , 9.369  , 34.339 , 1.666  , 0.069   , 26.541  ,   0.0000
  120 , 9.358  , 34.381 , 1.218  , 0.059   , 26.575  ,   0.0000
  123 , 9.359  , 34.389 , 1.209  , 0.058   , 26.581  ,   0.0000
