RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.778 , 33.144 , 5.807  , 0.725   , 24.37   ,   0.0000
    2 , 15.778 , 33.144 , 5.803  , 0.584   , 24.37   ,   0.0000
    4 , 15.778 , 33.144 , 5.786  , 0.714   , 24.37   ,   0.0000
    5 , 15.779 , 33.144 , 5.811  , 0.567   , 24.37   ,   0.0000
    6 , 15.779 , 33.144 , 5.802  , 0.626   , 24.37   ,   0.0000
    8 , 15.779 , 33.144 , 5.8    , 0.56    , 24.37   ,   0.0000
   10 , 15.784 , 33.144 , 5.79   , 0.6     , 24.369  ,   0.0000
   12 , 15.784 , 33.144 , 5.803  , 0.661   , 24.369  ,   0.0000
   14 , 15.777 , 33.146 , 5.777  , 0.582   , 24.372  ,   0.0000
   15 , 15.757 , 33.151 , 5.804  , 0.563   , 24.381  ,   0.0000
   16 , 15.728 , 33.159 , 5.802  , 0.523   , 24.394  ,   0.0000
   18 , 15.564 , 33.19  , 5.864  , 0.448   , 24.451  ,   0.0000
   20 , 15.274 , 33.248 , 6.253  , 0.53    , 24.568  ,   0.0000
   22 , 14.659 , 33.299 , 6.322  , 0.503   , 24.739  ,   0.0000
   24 , 14.06  , 33.301 , 6.35   , 0.694   , 24.861  ,   0.0000
   25 , 13.906 , 33.365 , 5.986  , 0.699   , 24.943  ,   0.0000
   26 , 13.594 , 33.444 , 5.556  , 0.977   , 25.073  ,   0.0000
   28 , 13.047 , 33.472 , 5.628  , 1.44    , 25.202  ,   0.0000
   30 , 12.688 , 33.543 , 5.484  , 1.615   , 25.328  ,   0.0000
   35 , 11.283 , 33.67  , 5.146  , 0.264   , 25.691  ,   0.0000
   40 , 10.553 , 33.755 , 4.925  , 0.133   , 25.884  ,   0.0000
   45 , 10.092 , 33.77  , 4.857  , 0.117   , 25.974  ,   0.0000
   50 , 9.807  , 33.816 , 4.837  , 0.102   , 26.059  ,   0.0000
   60 , 9.624  , 33.913 , 4.913  , 0.089   , 26.166  ,   0.0000
   70 , 9.378  , 33.947 , 4.618  , 0.097   , 26.233  ,   0.0000
   75 , 9.501  , 34.001 , 4.605  , 0.093   , 26.255  ,   0.0000
   80 , 9.117  , 33.977 , 4.978  , 0.097   , 26.298  ,   0.0000
   90 , 9.143  , 34.05  , 4.336  , 0.094   , 26.351  ,   0.0000
  100 , 9.01   , 34.049 , 4.389  , 0.098   , 26.372  ,   0.0000
  120 , 9.188  , 34.249 , 2.789  , 0.087   , 26.5    ,   0.0000
  125 , 9.294  , 34.318 , 1.97   , 0.081   , 26.537  ,   0.0000
  140 , 9.376  , 34.412 , 1.078  , 0.082   , 26.597  ,   0.0000
  150 , 9.346  , 34.432 , 0.884  , 0.081   , 26.618  ,   0.0000
  160 , 9.322  , 34.438 , 0.761  , 0.084   , 26.626  ,   0.0000
  170 , 9.321  , 34.441 , 0.734  , 0.08    , 26.628  ,   0.0000
  175 , 9.333  , 34.444 , 0.714  , 0.085   , 26.629  ,   0.0000
  180 , 9.331  , 34.445 , 0.705  , 0.082   , 26.63   ,   0.0000
  181 , 9.331  , 34.445 , 0.705  , 0.08    , 26.63   ,   0.0000
