RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.513 , 33.211 , 5.549  , 0.739   , 24.255  ,   0.0000
    2 , 16.514 , 33.21  , 5.588  , 1.391   , 24.254  ,   0.0000
    4 , 16.514 , 33.21  , 5.598  , 1.419   , 24.254  ,   0.0000
    5 , 16.514 , 33.21  , 5.576  , 1.265   , 24.254  ,   0.0000
    6 , 16.514 , 33.21  , 5.57   , 1.213   , 24.254  ,   0.0000
    8 , 16.515 , 33.21  , 5.575  , 1.466   , 24.254  ,   0.0000
   10 , 16.514 , 33.21  , 5.573  , 1.498   , 24.254  ,   0.0000
   12 , 16.507 , 33.211 , 5.572  , 1.309   , 24.256  ,   0.0000
   14 , 16.502 , 33.211 , 5.575  , 1.355   , 24.257  ,   0.0000
   15 , 16.499 , 33.211 , 5.576  , 1.232   , 24.258  ,   0.0000
   16 , 16.495 , 33.211 , 5.586  , 1.363   , 24.259  ,   0.0000
   18 , 16.387 , 33.212 , 5.594  , 1.146   , 24.285  ,   0.0000
   20 , 15.498 , 33.294 , 5.706  , 1.973   , 24.548  ,   0.0000
   22 , 15.082 , 33.321 , 5.788  , 2.542   , 24.66   ,   0.0000
   24 , 14.804 , 33.324 , 5.773  , 2.339   , 24.722  ,   0.0000
   25 , 14.589 , 33.334 , 5.752  , 2.28    , 24.776  ,   0.0000
   26 , 14.354 , 33.363 , 5.656  , 2.139   , 24.848  ,   0.0000
   28 , 14.139 , 33.389 , 5.576  , 2.783   , 24.914  ,   0.0000
   30 , 13.844 , 33.427 , 5.509  , 2.961   , 25.004  ,   0.0000
   35 , 12.421 , 33.558 , 5.267  , 5.004   , 25.389  ,   0.0000
   40 , 11.74  , 33.619 , 4.944  , 4.29    , 25.565  ,   0.0000
   45 , 11.204 , 33.703 , 4.666  , 1.098   , 25.729  ,   0.0000
   50 , 10.658 , 33.738 , 4.617  , 0.567   , 25.854  ,   0.0000
   60 , 10.365 , 33.815 , 5.175  , 0.231   , 25.965  ,   0.0000
   70 , 10.256 , 33.833 , 5.021  , 0.109   , 25.997  ,   0.0000
   75 , 10.254 , 33.839 , 4.98   , 0.122   , 26.003  ,   0.0000
   80 , 10.209 , 33.844 , 4.951  , 0.079   , 26.014  ,   0.0000
   90 , 10.021 , 33.863 , 4.995  , 0.121   , 26.061  ,   0.0000
  100 , 10.022 , 33.945 , 4.286  , 0.093   , 26.125  ,   0.0000
  120 , 9.629  , 34.056 , 3.63   , 0.075   , 26.277  ,   0.0000
  125 , 9.618  , 34.103 , 3.258  , 0.053   , 26.315  ,   0.0000
  140 , 9.447  , 34.162 , 2.932  , 0.064   , 26.39   ,   0.0000
  150 , 9.347  , 34.19  , 2.824  , 0.049   , 26.428  ,   0.0000
  160 , 9.179  , 34.217 , 2.852  , 0.042   , 26.476  ,   0.0000
  170 , 9.542  , 34.367 , 1.985  , 0.059   , 26.534  ,   0.0000
  175 , 9.609  , 34.376 , 1.276  , 0.05    , 26.531  ,   0.0000
  180 , 9.564  , 34.377 , 1.252  , 0.054   , 26.539  ,   0.0000
  190 , 9.401  , 34.362 , 1.466  , 0.058   , 26.553  ,   0.0000
  200 , 9.229  , 34.367 , 1.572  , 0.056   , 26.585  ,   0.0000
  225 , 9.269  , 34.423 , 0.947  , 0.053   , 26.623  ,   0.0000
  250 , 9.068  , 34.425 , 0.911  , 0.047   , 26.657  ,   0.0000
  275 , 8.447  , 34.369 , 1.595  , 0.048   , 26.71   ,   0.0000
  300 , 8.107  , 34.357 , 1.722  , 0.047   , 26.753  ,   0.0000
  325 , 7.729  , 34.328 , 2.07   , 0.047   , 26.786  ,   0.0000
  350 , 7.425  , 34.319 , 2.364  , 0.042   , 26.823  ,   0.0000
  375 , 7.21   , 34.336 , 2.277  , 0.041   , 26.867  ,   0.0000
  400 , 6.804  , 34.296 , 2.979  , 0.043   , 26.891  ,   0.0000
  425 , 6.532  , 34.28  , 3.43   , 0.041   , 26.914  ,   0.0000
  450 , 6.363  , 34.27  , 3.686  , 0.039   , 26.929  ,   0.0000
  475 , 6.214  , 34.266 , 3.873  , 0.036   , 26.945  ,   0.0000
  500 , 5.949  , 34.25  , 4.317  , 0.04    , 26.966  ,   0.0000
  525 , 5.786  , 34.242 , 4.536  , 0.036   , 26.981  ,   0.0000
  527 , 5.78   , 34.242 , 4.511  , 0.034   , 26.981  ,   0.0000
