RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.966 , 34.311 , 5.721  , 0.988   , 25.221  ,   0.0000
    2 , 16.004 , 34.309 , 5.718  , 1.11    , 25.22   ,   0.0000
    4 , 15.857 , 34.316 , 5.727  , 1.145   , 25.245  ,   0.0000
    5 , 16.043 , 34.311 , 5.712  , 1.13    , 25.209  ,   0.0000
    6 , 16.157 , 34.31  , 5.724  , 1.078   , 25.192  ,   0.0000
    8 , 15.176 , 34.3   , 5.831  , 1.195   , 25.377  ,   0.0000
   10 , 14.379 , 34.315 , 5.592  , 1.273   , 25.57   ,   0.0000
   12 , 14.246 , 34.294 , 5.557  , 1.312   , 25.602  ,   0.0000
   14 , 13.591 , 34.294 , 5.525  , 1.413   , 25.728  ,   0.0000
   15 , 13.36  , 34.298 , 5.51   , 1.507   , 25.77   ,   0.0000
   16 , 13.346 , 34.297 , 5.445  , 1.561   , 25.785  ,   0.0000
   18 , 12.678 , 34.287 , 5.321  , 1.69    , 25.902  ,   0.0000
   20 , 11.872 , 34.321 , 4.821  , 1.674   , 26.077  ,   0.0000
   22 , 11.711 , 34.303 , 3.958  , 1.569   , 26.102  ,   0.0000
   24 , 11.472 , 34.329 , 3.871  , 1.539   , 26.16   ,   0.0000
   25 , 11.458 , 34.349 , 3.694  , 1.56    , 26.185  ,   0.0000
   26 , 11.408 , 34.356 , 3.448  , 1.652   , 26.2    ,   0.0000
   28 , 11.261 , 34.37  , 3.057  , 1.294   , 26.235  ,   0.0000
   30 , 11.232 , 34.379 , 2.842  , 1.134   , 26.249  ,   0.0000
   35 , 11.19  , 34.436 , 2.389  , 0.859   , 26.301  ,   0.0000
   40 , 11.104 , 34.516 , 1.309  , 0.398   , 26.38   ,   0.0000
   45 , 11.067 , 34.537 , 0.892  , 0.36    , 26.403  ,   0.0000
   50 , 11.049 , 34.538 , 0.805  , 0.355   , 26.407  ,   0.0000
   60 , 10.996 , 34.545 , 0.631  , 0.333   , 26.422  ,   0.0000
   70 , 10.987 , 34.554 , 0.528  , 0.311   , 26.43   ,   0.0000
   75 , 10.986 , 34.555 , 0.527  , 0.317   , 26.431  ,   0.0000
   80 , 10.987 , 34.554 , 0.522  , 0.311   , 26.431  ,   0.0000
   90 , 10.987 , 34.557 , 0.518  , 0.311   , 26.433  ,   0.0000
  100 , 10.99  , 34.559 , 0.501  , 0.31    , 26.434  ,   0.0000
  101 , 10.99  , 34.559 , 0.5    , 0.312   , 26.434  ,   0.0000
