RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    2 , 15.029 , 33.235 , 6.169  , 0.51    , 24.605  ,   0.0000
    4 , 15.031 , 33.235 , 6.183  ,         , 24.605  ,   0.0000
    5 , 15.031 , 33.235 , 6.173  , 0.45    , 24.605  ,   0.0000
    6 , 15.024 , 33.235 , 6.161  ,         , 24.606  ,   0.0000
    8 , 15.033 , 33.235 , 6.174  ,         , 24.604  ,   0.0000
   10 , 15.02  , 33.236 , 6.155  , 0.53    , 24.608  ,   0.0000
   12 , 14.986 , 33.24  , 6.142  ,         , 24.62   ,   0.0000
   14 , 14.764 , 33.271 , 6.122  ,         , 24.689  ,   0.0000
   15 , 14.649 , 33.292 , 6.098  ,         , 24.732  ,   0.0000
   16 , 14.542 , 33.311 , 6.092  ,         , 24.768  ,   0.0000
   18 , 14.433 , 33.359 , 6.032  ,         , 24.828  ,   0.0000
   20 , 14.383 , 33.372 , 5.92   , 0.64    , 24.849  ,   0.0000
   22 , 14.36  , 33.376 , 5.88   ,         , 24.857  ,   0.0000
   24 , 14.329 , 33.382 , 5.89   ,         , 24.87   ,   0.0000
   25 , 14.231 , 33.399 , 5.86   ,         , 24.902  ,   0.0000
   26 , 14.127 , 33.421 , 5.829  ,         , 24.944  ,   0.0000
   28 , 13.634 , 33.53  , 5.617  ,         , 25.129  ,   0.0000
   30 , 12.947 , 33.656 , 5.328  , 1.71    , 25.351  ,   0.0000
   31 , 12.858 , 33.68  , 5.158  ,         , 25.389  ,   0.0000
