RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.58  , 34.273 , 6.129  , 10.31   , 25.282  ,   0.0000
    2 , 15.58  , 34.28  , 6.171  ,         , 25.29   ,   0.0000
    4 , 15.382 , 34.294 , 6.219  ,         , 25.345  ,   0.0000
    5 , 15.126 , 34.311 , 6.214  , 12.61   , 25.41   ,   0.0000
    6 , 14.723 , 34.346 , 4.845  ,         , 25.529  ,   0.0000
    8 , 14.102 , 34.345 , 4.914  ,         , 25.66   ,   0.0000
   10 , 13.439 , 34.37  , 3.901  , 6.7     , 25.815  ,   0.0000
   12 , 13.067 , 34.362 , 3.437  ,         , 25.889  ,   0.0000
   14 , 12.473 , 34.405 , 2.996  ,         , 26.031  ,   0.0000
   15 , 12.272 , 34.425 , 2.826  ,         , 26.086  ,   0.0000
   16 , 12.149 , 34.437 , 2.533  ,         , 26.125  ,   0.0000
   18 , 11.869 , 34.458 , 1.955  ,         , 26.192  ,   0.0000
   20 , 11.757 , 34.45  , 1.43   , 1.53    , 26.208  ,   0.0000
   22 , 11.692 , 34.458 , 1.386  ,         , 26.23   ,   0.0000
   24 , 11.432 , 34.484 , 1.351  ,         , 26.294  ,   0.0000
   25 , 11.287 , 34.498 , 1.312  ,         , 26.327  ,   0.0000
   26 , 11.237 , 34.503 , 1.228  ,         , 26.343  ,   0.0000
   28 , 11.176 , 34.507 , 0.701  ,         , 26.359  ,   0.0000
   30 , 11.146 , 34.509 , 0.585  , 0.72    , 26.367  ,   0.0000
   31 , 11.131 , 34.509 , 0.514  ,         , 26.369  ,   0.0000
