RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.099 , 33.333 , 6.078  , 1.212   , 24.443  ,   0.0000
    2 , 16.104 , 33.333 , 6.052  , 1.451   , 24.442  ,   0.0000
    4 , 16.105 , 33.334 , 6.073  , 1.567   , 24.442  ,   0.0000
    5 , 16.106 , 33.334 , 6.053  , 1.543   , 24.442  ,   0.0000
    6 , 16.104 , 33.335 , 6.039  , 1.491   , 24.444  ,   0.0000
    8 , 16.029 , 33.352 , 6.064  , 2.113   , 24.475  ,   0.0000
   10 , 15.653 , 33.407 , 6.113  , 3.031   , 24.606  ,   0.0000
   12 , 14.405 , 33.61  , 6.177  , 2.429   , 25.012  ,   0.0000
   14 , 12.332 , 33.934 , 6.559  , 1.812   , 25.667  ,   0.0000
   15 , 11.748 , 34.017 , 6.454  , 2.492   , 25.863  ,   0.0000
   16 , 11.315 , 34.029 , 5.584  , 3.141   , 25.96   ,   0.0000
   18 , 10.369 , 34.008 , 4.701  , 0.973   , 26.105  ,   0.0000
   20 , 10.145 , 33.995 , 4.223  , 2.053   , 26.144  ,   0.0000
   22 , 9.938  , 33.984 , 3.806  , 0.474   , 26.174  ,   0.0000
   24 , 9.659  , 33.987 , 3.768  , 0.704   , 26.218  ,   0.0000
   25 , 9.568  , 33.992 , 3.754  , 0.977   , 26.236  ,   0.0000
   26 , 9.499  , 33.993 , 3.762  , 0.702   , 26.246  ,   0.0000
   28 , 9.469  , 33.992 , 3.805  , 0.597   , 26.253  ,   0.0000
   30 , 9.407  , 33.99  , 3.822  , 0.48    , 26.262  ,   0.0000
   35 , 9.27   , 34.028 , 3.697  , 0.314   , 26.313  ,   0.0000
   40 , 9.312  , 34.054 , 3.554  , 1.433   , 26.328  ,   0.0000
   45 , 9.305  , 34.079 , 3.352  , 0.312   , 26.348  ,   0.0000
   50 , 9.214  , 34.085 , 3.291  , 0.296   , 26.366  ,   0.0000
   60 , 9.284  , 34.179 , 2.709  , 0.246   , 26.427  ,   0.0000
   70 , 9.515  , 34.294 , 2.034  , 0.239   , 26.481  ,   0.0000
   75 , 9.444  , 34.317 , 1.97   , 0.248   , 26.512  ,   0.0000
   80 , 9.387  , 34.342 , 1.639  , 0.234   , 26.54   ,   0.0000
   90 , 9.401  , 34.391 , 1.239  , 0.234   , 26.577  ,   0.0000
  100 , 9.309  , 34.39  , 0.967  , 0.238   , 26.59   ,   0.0000
  120 , 9.271  , 34.398 , 0.844  , 0.233   , 26.603  ,   0.0000
  123 , 9.258  , 34.401 , 0.835  , 0.243   , 26.608  ,   0.0000
