RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 14.153 , 34.053 , 5.979  , 10.686  , 25.423  ,   0.0000
    2 , 14.155 , 34.052 , 6.002  , 10.245  , 25.422  ,   0.0000
    4 , 14.151 , 34.051 , 5.981  , 9.991   , 25.422  ,   0.0000
    5 , 14.137 , 34.051 , 5.97   , 9.646   , 25.424  ,   0.0000
    6 , 14.153 , 34.054 , 5.977  , 11.515  , 25.424  ,   0.0000
    8 , 14.137 , 34.052 , 5.985  , 12.843  , 25.428  ,   0.0000
   10 , 13.902 , 34.066 , 5.766  , 12.096  , 25.485  ,   0.0000
   12 , 13.191 , 34.114 , 5.581  , 13.358  , 25.651  ,   0.0000
   14 , 12.624 , 34.238 , 4.464  , 12.383  , 26.062  ,   0.0000
   15 , 10.916 , 34.276 , 4.469  , 1.802   , 26.178  ,   0.0000
   16 , 10.34  , 34.347 , 2.418  ,         , 26.407  ,   0.0000
