RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.713 , 34.292 , 5.039  , 1.258   , 25.268  ,   0.0000
    2 , 15.71  , 34.292 , 5.02   , 1.503   , 25.268  ,   0.0000
    4 , 15.708 , 34.292 , 5.041  , 1.551   , 25.269  ,   0.0000
    5 , 15.707 , 34.292 , 5.032  , 1.519   , 25.27   ,   0.0000
    6 , 15.705 , 34.292 , 5.035  , 1.441   , 25.27   ,   0.0000
    8 , 15.701 , 34.293 , 5.029  , 1.352   , 25.271  ,   0.0000
   10 , 15.705 , 34.293 , 5.03   , 1.365   , 25.27   ,   0.0000
   12 , 15.694 , 34.292 , 5.031  , 1.293   , 25.272  ,   0.0000
   14 , 15.689 , 34.293 , 5.005  , 1.293   , 25.274  ,   0.0000
   15 , 15.691 , 34.293 , 5.009  , 1.376   , 25.274  ,   0.0000
   16 , 15.695 , 34.293 , 5.02   , 1.395   , 25.273  ,   0.0000
   18 , 15.697 , 34.293 , 5.037  , 1.324   , 25.272  ,   0.0000
   20 , 15.683 , 34.292 , 5.02   , 1.348   , 25.275  ,   0.0000
   22 , 15.642 , 34.293 , 5.015  , 1.407   , 25.285  ,   0.0000
   24 , 15.622 , 34.294 , 4.976  , 1.401   , 25.29   ,   0.0000
   25 , 15.616 , 34.295 , 4.97   , 1.369   , 25.292  ,   0.0000
   26 , 15.535 , 34.293 , 4.962  , 1.237   , 25.309  ,   0.0000
   28 , 15.365 , 34.296 , 4.845  , 1.262   , 25.349  ,   0.0000
   30 , 14.482 , 34.283 , 4.693  , 1.052   , 25.531  ,   0.0000
   35 , 11.123 , 34.5   , 0.976  , 1.045   , 26.364  ,   0.0000
   40 , 10.77  , 34.537 , 0.477  , 0.3     , 26.457  ,   0.0000
   45 , 10.747 , 34.546 , 0.415  , 0.242   , 26.467  ,   0.0000
   50 , 10.665 , 34.543 , 0.336  , 0.244   , 26.48   ,   0.0000
   60 , 10.587 , 34.58  , 0.185  , 0.131   , 26.522  ,   0.0000
   70 , 10.4   , 34.553 , 0.155  , 0.211   , 26.534  ,   0.0000
   75 , 10.522 , 34.587 , 0.132  , 0.135   , 26.539  ,   0.0000
   80 , 10.476 , 34.589 , 0.132  , 0.111   , 26.549  ,   0.0000
   90 , 10.437 , 34.591 , 0.113  , 0.084   , 26.557  ,   0.0000
  100 , 10.385 , 34.593 , 0.118  , 0.082   , 26.568  ,   0.0000
  120 , 10.283 , 34.589 , 0.109  , 0.091   , 26.582  ,   0.0000
  125 , 10.296 , 34.593 , 0.109  , 0.076   , 26.583  ,   0.0000
  140 , 10.255 , 34.595 , 0.106  , 0.072   , 26.591  ,   0.0000
  150 , 10.149 , 34.572 , 0.092  , 0.07    , 26.593  ,   0.0000
  160 , 10.061 , 34.565 , 0.085  , 0.066   , 26.602  ,   0.0000
  170 , 10.038 , 34.563 , 0.084  , 0.066   , 26.605  ,   0.0000
  175 , 10.038 , 34.565 , 0.09   , 0.063   , 26.605  ,   0.0000
  180 , 10.021 , 34.565 , 0.09   , 0.059   , 26.609  ,   0.0000
  190 , 10.02  , 34.572 , 0.101  , 0.063   , 26.614  ,   0.0000
  200 , 10.028 , 34.578 , 0.114  , 0.065   , 26.618  ,   0.0000
  225 , 9.901  , 34.576 , 0.129  , 0.066   , 26.638  ,   0.0000
  250 , 9.778  , 34.57  , 0.162  , 0.066   , 26.654  ,   0.0000
  275 , 9.599  , 34.557 , 0.239  , 0.086   , 26.674  ,   0.0000
  300 , 9.162  , 34.524 , 0.418  , 0.056   , 26.719  ,   0.0000
  325 , 8.733  , 34.502 , 0.583  , 0.059   , 26.771  ,   0.0000
  335 , 8.668  , 34.501 , 0.617  , 0.061   , 26.78   ,   0.0000
