RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.055 , 34.317 , 4.704  , 0.945   , 25.433  ,   0.0000
    2 , 15.057 , 34.317 , 4.714  , 1.003   , 25.433  ,   0.0000
    4 , 15.054 , 34.316 , 4.72   , 1.202   , 25.433  ,   0.0000
    5 , 15.046 , 34.317 , 4.707  , 1.211   , 25.435  ,   0.0000
    6 , 15.037 , 34.317 , 4.697  , 1.17    , 25.437  ,   0.0000
    8 , 15.02  , 34.317 , 4.686  , 1.17    , 25.441  ,   0.0000
   10 , 15.022 , 34.319 , 4.665  , 1.086   , 25.442  ,   0.0000
   12 , 15.021 , 34.318 , 4.684  , 1.13    , 25.441  ,   0.0000
   14 , 14.979 , 34.318 , 4.667  , 1.067   , 25.451  ,   0.0000
   15 , 14.929 , 34.318 , 4.64   , 1.129   , 25.462  ,   0.0000
   16 , 14.855 , 34.318 , 4.614  , 1.12    , 25.478  ,   0.0000
   18 , 14.759 , 34.329 , 4.443  , 1.015   , 25.507  ,   0.0000
   20 , 14.759 , 34.327 , 4.476  , 1.007   , 25.505  ,   0.0000
   22 , 14.635 , 34.328 , 4.404  , 0.945   , 25.533  ,   0.0000
   24 , 14.483 , 34.334 , 4.265  , 0.89    , 25.57   ,   0.0000
   25 , 14.359 , 34.334 , 4.152  , 0.811   , 25.597  ,   0.0000
   26 , 14.208 , 34.337 , 4.007  , 0.807   , 25.631  ,   0.0000
   28 , 13.759 , 34.341 , 3.711  , 0.716   , 25.728  ,   0.0000
   30 , 12.797 , 34.362 , 2.943  , 0.598   , 25.939  ,   0.0000
   35 , 10.915 , 34.47  , 0.616  , 0.193   , 26.378  ,   0.0000
   40 , 10.813 , 34.493 , 0.608  , 0.111   , 26.414  ,   0.0000
   45 , 10.733 , 34.517 , 0.373  , 0.103   , 26.447  ,   0.0000
   50 , 10.738 , 34.529 , 0.304  , 0.09    , 26.456  ,   0.0000
   60 , 10.698 , 34.545 , 0.185  , 0.075   , 26.475  ,   0.0000
   70 , 10.626 , 34.552 , 0.136  , 0.08    , 26.494  ,   0.0000
   75 , 10.597 , 34.555 , 0.131  , 0.076   , 26.501  ,   0.0000
   80 , 10.59  , 34.555 , 0.129  , 0.08    , 26.502  ,   0.0000
   90 , 10.544 , 34.558 , 0.118  , 0.083   , 26.513  ,   0.0000
  100 , 10.499 , 34.564 , 0.109  , 0.077   , 26.525  ,   0.0000
  111 , 10.495 , 34.565 , 0.102  , 0.076   , 26.526  ,   0.0000
