RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    2 , 15.59  , 34.195 , 5.852  , 4.074   , 25.22   ,   0.0000
    4 , 15.463 , 34.196 , 5.865  , 3.179   , 25.261  ,   0.0000
    5 , 15.171 , 34.203 , 5.846  , 2.596   , 25.322  ,   0.0000
    6 , 14.843 , 34.202 , 5.604  , 4.048   , 25.387  ,   0.0000
    8 , 14.358 , 34.214 , 5.611  , 2.936   , 25.502  ,   0.0000
   10 , 13.847 , 34.227 , 5.378  , 1.647   , 25.622  ,   0.0000
   12 , 13.457 , 34.244 , 4.981  , 1.091   , 25.716  ,   0.0000
   14 , 13.399 , 34.256 , 4.897  , 0.952   , 25.738  ,   0.0000
   15 , 13.347 , 34.252 , 4.885  , 1.009   , 25.744  ,   0.0000
   16 , 13.293 , 34.253 , 4.868  , 1.279   , 25.754  ,   0.0000
   18 , 13.271 , 34.268 , 4.828  , 1.224   , 25.771  ,   0.0000
   20 , 13.185 , 34.308 , 4.617  , 1.092   , 25.821  ,   0.0000
   22 , 12.929 , 34.303 , 4.216  , 0.901   , 25.87   ,   0.0000
   24 , 12.363 , 34.301 , 4.238  , 0.89    , 25.973  ,   0.0000
   25 , 12.043 , 34.275 , 4.113  , 0.711   , 26.013  ,   0.0000
   26 , 11.944 , 34.261 , 3.938  , 0.543   , 26.026  ,   0.0000
   28 , 11.734 , 34.257 , 3.758  , 0.474   , 26.058  ,   0.0000
   30 , 11.674 , 34.268 , 3.683  , 0.378   , 26.082  ,   0.0000
   35 , 11.443 , 34.281 , 3.362  , 0.187   , 26.133  ,   0.0000
   40 , 11.296 , 34.311 , 3.201  , 0.165   , 26.183  ,   0.0000
   45 , 11.243 , 34.349 , 2.752  , 0.179   , 26.226  ,   0.0000
   50 , 11.12  , 34.377 , 2.364  , 0.157   , 26.269  ,   0.0000
   60 , 10.818 , 34.403 , 1.841  , 0.089   , 26.343  ,   0.0000
   70 , 10.753 , 34.431 , 1.584  , 0.073   , 26.376  ,   0.0000
   75 , 10.755 , 34.451 , 1.344  , 0.073   , 26.392  ,   0.0000
   80 , 10.78  , 34.476 , 1.205  , 0.072   , 26.406  ,   0.0000
   90 , 10.782 , 34.538 , 0.698  , 0.063   , 26.455  ,   0.0000
  100 , 10.73  , 34.559 , 0.408  , 0.069   , 26.48   ,   0.0000
  120 , 10.649 , 34.584 , 0.181  , 0.064   , 26.514  ,   0.0000
  123 , 10.646 , 34.584 , 0.193  , 0.062   , 26.515  ,   0.0000
