RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 14.612 , 33.344 , 6.662  , 1.521   , 24.777  ,   0.0000
    2 , 14.638 , 33.343 , 6.64   , 1.05    , 24.773  ,   0.0000
    4 , 14.643 , 33.344 , 6.65   , 0.812   , 24.772  ,   0.0000
    5 , 14.641 , 33.344 , 6.635  , 0.68    , 24.773  ,   0.0000
    6 , 14.639 , 33.344 , 6.619  , 1.175   , 24.773  ,   0.0000
    8 , 14.605 , 33.341 , 6.648  , 1.37    , 24.779  ,   0.0000
   10 , 13.709 , 33.358 , 6.74   , 1.85    , 24.975  ,   0.0000
   12 , 12.903 , 33.421 , 6.042  , 1.499   , 25.199  ,   0.0000
   14 , 11.511 , 33.578 , 4.972  , 1.223   , 25.576  ,   0.0000
   15 , 11.18  , 33.621 , 4.142  , 0.889   , 25.664  ,   0.0000
   16 , 11.114 , 33.629 , 3.958  , 0.727   , 25.687  ,   0.0000
   18 , 10.901 , 33.647 , 3.969  , 1.444   , 25.742  ,   0.0000
   20 , 10.497 , 33.674 , 4.716  , 0.85    , 25.832  ,   0.0000
   22 , 10.294 , 33.691 , 4.828  , 0.558   , 25.879  ,   0.0000
   24 , 10.237 , 33.695 , 4.808  , 0.565   , 25.892  ,   0.0000
   25 , 10.222 , 33.697 , 4.834  , 0.649   , 25.897  ,   0.0000
   26 , 10.195 , 33.705 , 4.871  , 0.575   , 25.909  ,   0.0000
   28 , 10.002 , 33.742 , 4.904  , 0.56    , 25.967  ,   0.0000
   30 , 9.921  , 33.758 , 4.838  , 0.545   , 25.997  ,   0.0000
   35 , 9.706  , 33.791 , 4.944  , 0.705   , 26.057  ,   0.0000
   40 , 9.613  , 33.835 , 5.003  , 0.432   , 26.106  ,   0.0000
   45 , 9.611  , 33.887 , 4.814  , 0.073   , 26.146  ,   0.0000
   50 , 9.535  , 33.915 , 4.762  , 0.086   , 26.182  ,   0.0000
   60 , 9.647  , 34.055 , 4.154  , 0.09    , 26.274  ,   0.0000
   70 , 9.548  , 34.119 , 3.446  , 0.073   , 26.339  ,   0.0000
   75 , 9.513  , 34.156 , 3.369  , 0.073   , 26.374  ,   0.0000
   80 , 9.503  , 34.196 , 2.905  , 0.068   , 26.407  ,   0.0000
   90 , 9.649  , 34.288 , 2.04   , 0.06    , 26.455  ,   0.0000
  100 , 9.676  , 34.356 , 1.536  , 0.073   , 26.504  ,   0.0000
  120 , 9.564  , 34.405 , 1.078  , 0.063   , 26.561  ,   0.0000
  125 , 9.535  , 34.414 , 1.012  , 0.042   , 26.573  ,   0.0000
  140 , 9.439  , 34.452 , 0.746  , 0.042   , 26.617  ,   0.0000
  150 , 9.15   , 34.406 , 0.651  , 0.073   , 26.629  ,   0.0000
  152 , 9.151  , 34.409 , 0.64   , 0.075   , 26.631  ,   0.0000
