RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 13.599 , 33.864 , 6.553  , 0.533   , 25.392  ,   0.0000
    2 , 13.612 , 33.865 , 6.544  , 0.761   , 25.39   ,   0.0000
    4 , 13.634 , 33.865 , 6.541  , 0.77    , 25.386  ,   0.0000
    5 , 13.638 , 33.866 , 6.567  , 0.794   , 25.388  ,   0.0000
    6 , 13.576 , 33.866 , 6.568  , 0.794   , 25.402  ,   0.0000
    8 , 12.693 , 33.866 , 6.608  , 1.128   , 25.575  ,   0.0000
   10 , 11.869 , 33.957 , 5.656  , 1.463   , 25.801  ,   0.0000
   12 , 11.643 , 33.997 , 5.25   , 1.676   , 25.877  ,   0.0000
   14 , 11.475 , 34.002 , 5.112  , 1.493   , 25.911  ,   0.0000
   15 , 11.46  , 33.999 , 5.038  , 1.453   , 25.913  ,   0.0000
   16 , 11.427 , 33.997 , 4.99   , 1.476   , 25.917  ,   0.0000
   18 , 11.364 , 33.997 , 4.944  , 1.375   , 25.933  ,   0.0000
   20 , 11.038 , 34.033 , 4.864  , 1.502   , 26.015  ,   0.0000
   22 , 10.793 , 34.048 , 4.552  , 1.491   , 26.072  ,   0.0000
   24 , 10.362 , 33.99  , 4.496  , 1.294   , 26.104  ,   0.0000
   25 , 10.048 , 33.958 , 4.502  , 1.266   , 26.128  ,   0.0000
   26 , 9.724  , 33.93  , 4.501  , 1.087   , 26.153  ,   0.0000
   28 , 9.558  , 33.901 , 4.593  , 0.317   , 26.168  ,   0.0000
   30 , 9.513  , 33.902 , 4.582  , 0.253   , 26.176  ,   0.0000
   35 , 9.503  , 33.946 , 4.427  , 0.275   , 26.212  ,   0.0000
   40 , 9.438  , 34.004 , 4.019  , 0.489   , 26.268  ,   0.0000
   45 , 9.559  , 34.103 , 3.749  , 0.466   , 26.326  ,   0.0000
   50 , 9.591  , 34.143 , 3.2    , 0.338   , 26.352  ,   0.0000
   60 , 9.594  , 34.27  , 2.273  , 0.11    , 26.45   ,   0.0000
   70 , 9.541  , 34.31  , 1.58   , 0.075   , 26.49   ,   0.0000
   75 , 9.531  , 34.317 , 1.438  , 0.075   , 26.497  ,   0.0000
   80 , 9.493  , 34.335 , 1.289  , 0.076   , 26.517  ,   0.0000
   90 , 9.438  , 34.37  , 0.916  , 0.072   , 26.554  ,   0.0000
  100 , 9.391  , 34.416 , 0.607  , 0.072   , 26.597  ,   0.0000
  101 , 9.394  , 34.416 , 0.579  , 0.065   , 26.597  ,   0.0000
