RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.234 , 34.242 , 5.526  , 0.732   , 25.111  ,   0.0000
    2 , 16.233 , 34.243 , 5.621  , 0.508   , 25.112  ,   0.0000
    4 , 16.236 , 34.243 , 5.593  , 0.539   , 25.112  ,   0.0000
    5 , 16.237 , 34.244 , 5.597  , 0.584   , 25.111  ,   0.0000
    6 , 16.237 , 34.244 , 5.583  , 0.565   , 25.112  ,   0.0000
    8 , 16.236 , 34.244 , 5.585  , 0.673   , 25.112  ,   0.0000
   10 , 16.227 , 34.244 , 5.571  , 0.645   , 25.114  ,   0.0000
   12 , 15.854 , 34.223 , 5.582  , 0.66    , 25.185  ,   0.0000
   14 , 15.003 , 34.231 , 5.557  , 0.822   , 25.375  ,   0.0000
   15 , 14.576 , 34.247 , 5.368  , 0.871   , 25.489  ,   0.0000
   16 , 14.216 , 34.252 , 5.187  , 0.878   , 25.599  ,   0.0000
   18 , 12.867 , 34.27  , 5.077  , 0.797   , 25.829  ,   0.0000
   20 , 12.459 , 34.254 , 3.973  , 0.764   , 25.925  ,   0.0000
   22 , 12.238 , 34.252 , 4.096  , 0.665   , 25.964  ,   0.0000
   24 , 12.093 , 34.262 , 3.978  , 0.627   , 25.997  ,   0.0000
   25 , 12.065 , 34.266 , 3.931  , 0.567   , 26.006  ,   0.0000
   26 , 12.042 , 34.269 , 3.877  , 0.561   , 26.013  ,   0.0000
   28 , 11.974 , 34.27  , 3.776  , 0.428   , 26.026  ,   0.0000
   30 , 11.869 , 34.273 , 3.575  , 0.341   , 26.049  ,   0.0000
   35 , 11.506 , 34.273 , 3.474  , 0.249   , 26.119  ,   0.0000
   40 , 11.082 , 34.276 , 3.08   , 0.188   , 26.197  ,   0.0000
   45 , 10.965 , 34.3   , 2.814  , 0.153   , 26.236  ,   0.0000
   50 , 10.939 , 34.328 , 2.393  , 0.152   , 26.263  ,   0.0000
   60 , 10.836 , 34.364 , 2.222  , 0.144   , 26.311  ,   0.0000
   70 , 10.748 , 34.421 , 1.35   , 0.151   , 26.369  ,   0.0000
   75 , 10.717 , 34.431 , 1.227  , 0.15    , 26.383  ,   0.0000
   80 , 10.695 , 34.459 , 1.124  , 0.147   , 26.408  ,   0.0000
   90 , 10.703 , 34.501 , 0.786  , 0.144   , 26.44   ,   0.0000
  100 , 10.66  , 34.521 , 0.507  , 0.131   , 26.465  ,   0.0000
  120 , 10.65  , 34.589 , 0.242  , 0.152   , 26.517  ,   0.0000
  125 , 10.626 , 34.602 , 0.197  , 0.142   , 26.532  ,   0.0000
  140 , 10.528 , 34.617 , 0.137  , 0.13    , 26.561  ,   0.0000
  150 , 10.472 , 34.621 , 0.133  , 0.125   , 26.574  ,   0.0000
  152 , 10.463 , 34.621 , 0.121  , 0.126   , 26.576  ,   0.0000
