RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.276 , 33.172 , 5.918  , 0.881   , 24.503  ,   0.0000
    2 , 15.275 , 33.172 , 5.926  , 0.738   , 24.503  ,   0.0000
    4 , 15.275 , 33.172 , 5.923  , 0.782   , 24.503  ,   0.0000
    5 , 15.275 , 33.172 , 5.915  , 0.73    , 24.503  ,   0.0000
    6 , 15.279 , 33.172 , 5.913  , 0.567   , 24.503  ,   0.0000
    8 , 15.28  , 33.172 , 5.92   , 1.985   , 24.502  ,   0.0000
   10 , 15.28  , 33.172 , 5.912  , 0.743   , 24.502  ,   0.0000
   12 , 15.28  , 33.172 , 5.915  , 0.705   , 24.502  ,   0.0000
   14 , 15.28  , 33.173 , 5.905  , 0.717   , 24.503  ,   0.0000
   15 , 15.279 , 33.173 , 5.909  , 0.807   , 24.503  ,   0.0000
   16 , 15.279 , 33.173 , 5.914  , 0.552   , 24.503  ,   0.0000
   18 , 15.279 , 33.174 , 5.915  , 1.128   , 24.504  ,   0.0000
   20 , 15.275 , 33.177 , 5.909  , 0.697   , 24.507  ,   0.0000
   22 , 15.118 , 33.212 , 5.918  , 0.874   , 24.576  ,   0.0000
   24 , 13.145 , 33.527 , 6.085  , 0.989   , 25.192  ,   0.0000
   25 , 12.812 , 33.575 , 6.024  , 1.153   , 25.314  ,   0.0000
   26 , 12.547 , 33.599 , 5.951  , 1.712   , 25.398  ,   0.0000
   28 , 11.078 , 33.733 , 5.083  , 2.828   , 25.775  ,   0.0000
   30 , 10.904 , 33.734 , 5.107  , 2.796   , 25.804  ,   0.0000
   35 , 9.965  , 33.798 , 4.774  , 1.483   , 26.019  ,   0.0000
   40 , 9.839  , 33.826 , 4.76   , 0.029   , 26.063  ,   0.0000
   45 , 9.784  , 33.854 , 4.748  ,         , 26.094  ,   0.0000
   50 , 9.725  , 33.885 , 5.058  ,         , 26.128  ,   0.0000
   60 , 9.64   , 33.979 , 4.725  ,         , 26.216  ,   0.0000
   70 , 9.141  , 33.978 , 4.955  ,         , 26.295  ,   0.0000
   75 , 9.158  , 34.015 , 4.948  ,         , 26.323  ,   0.0000
   80 , 9.506  , 34.124 , 3.984  ,         , 26.352  ,   0.0000
   90 , 9.467  , 34.197 , 3.041  ,         , 26.413  ,   0.0000
  100 , 9.681  , 34.314 , 2.13   ,         , 26.473  ,   0.0000
  120 , 9.571  , 34.386 , 1.183  ,         , 26.545  ,   0.0000
  125 , 9.58   , 34.412 , 1.098  ,         , 26.565  ,   0.0000
  140 , 9.464  , 34.436 , 0.847  ,         , 26.602  ,   0.0000
  150 , 9.059  , 34.419 , 0.882  ,         , 26.651  ,   0.0000
  152 , 9.056  , 34.413 , 0.55   ,         , 26.65   ,   0.0000
