RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 18.104 , 34.269 , 5.762  , 0.658   , 24.686  ,   0.0000
    2 , 18.093 , 34.268 , 5.732  , 0.702   , 24.69   ,   0.0000
    4 , 18.01  , 34.268 , 5.761  , 0.71    , 24.706  ,   0.0000
    5 , 18.014 , 34.267 , 5.765  , 0.705   , 24.709  ,   0.0000
    6 , 17.969 , 34.267 , 5.795  , 0.689   , 24.717  ,   0.0000
    8 , 17.957 , 34.267 , 5.787  , 0.724   , 24.726  ,   0.0000
   10 , 17.91  , 34.265 , 5.793  , 0.708   , 24.801  ,   0.0000
   12 , 15.22  , 34.287 , 6.053  , 0.718   , 25.21   ,   0.0000
   14 , 14.3   , 34.295 , 5.66   , 0.658   , 25.554  ,   0.0000
   15 , 13.93  , 34.282 , 5.363  , 0.662   , 25.619  ,   0.0000
   16 , 13.703 , 34.269 , 5.222  , 0.66    , 25.675  ,   0.0000
   18 , 13.358 , 34.261 , 5.23   , 0.669   , 25.746  ,   0.0000
   20 , 13.167 , 34.275 , 5.195  , 0.625   , 25.797  ,   0.0000
   22 , 12.949 , 34.283 , 4.837  , 0.5     , 25.846  ,   0.0000
   24 , 12.69  , 34.284 , 4.497  , 0.4     , 25.899  ,   0.0000
   25 , 12.577 , 34.288 , 4.389  , 0.364   , 25.928  ,   0.0000
   26 , 12.378 , 34.297 , 4.248  , 0.359   , 25.969  ,   0.0000
   28 , 12.013 , 34.361 , 4.009  , 0.401   , 26.084  ,   0.0000
   30 , 11.833 , 34.387 , 3.58   , 0.39    , 26.143  ,   0.0000
   35 , 11.808 , 34.389 , 2.819  , 0.371   , 26.151  ,   0.0000
   40 , 11.78  , 34.391 , 2.805  , 0.379   , 26.158  ,   0.0000
   45 , 11.772 , 34.408 , 2.649  , 0.341   , 26.172  ,   0.0000
   50 , 11.769 , 34.407 , 2.545  , 0.334   , 26.172  ,   0.0000
   60 , 11.383 , 34.419 , 2.169  , 0.311   , 26.253  ,   0.0000
   70 , 11.229 , 34.456 , 1.901  , 0.314   , 26.31   ,   0.0000
   75 , 11.178 , 34.485 , 1.397  , 0.295   , 26.342  ,   0.0000
   80 , 11.161 , 34.483 , 1.339  , 0.3     , 26.344  ,   0.0000
   90 , 11.074 , 34.509 , 1.288  , 0.293   , 26.379  ,   0.0000
  100 , 11.057 , 34.533 , 0.802  , 0.278   , 26.401  ,   0.0000
  120 , 11.012 , 34.568 , 0.616  , 0.27    , 26.437  ,   0.0000
  125 , 11.006 , 34.574 , 0.477  , 0.266   , 26.443  ,   0.0000
  140 , 10.99  , 34.591 , 0.39   , 0.264   , 26.459  ,   0.0000
  144 , 10.974 , 34.599 , 0.368  , 0.264   , 26.467  ,   0.0000
