RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.141 , 33.149 , 6.706  , 2.142   , 24.515  ,   0.0000
    2 , 15.139 , 33.149 , 6.695  , 2.286   , 24.515  ,   0.0000
    4 , 15.139 , 33.15  , 6.702  , 2.058   , 24.515  ,   0.0000
    5 , 15.086 , 33.155 , 6.704  , 2.739   , 24.531  ,   0.0000
    6 , 15.06  , 33.157 , 6.716  , 2.561   , 24.54   ,   0.0000
    8 , 14.873 , 33.187 , 6.838  , 3.056   , 24.603  ,   0.0000
   10 , 14.486 , 33.33  , 6.945  , 4.009   , 24.794  ,   0.0000
   12 , 13.586 , 33.629 , 6.708  , 5.237   , 25.199  ,   0.0000
   14 , 13.433 , 33.684 , 6.144  , 6.723   , 25.287  ,   0.0000
   15 , 13.36  , 33.705 , 5.776  , 5.875   , 25.322  ,   0.0000
   16 , 13.226 , 33.737 , 5.76   , 3.172   , 25.372  ,   0.0000
   18 , 12.983 , 33.786 , 5.555  , 2.141   , 25.453  ,   0.0000
   20 , 12.916 , 33.813 , 5.548  , 1.858   , 25.491  ,   0.0000
   22 , 12.716 , 33.91  , 5.5    , 1.472   , 25.604  ,   0.0000
   24 , 12.545 , 33.956 , 5.4    , 2.554   , 25.674  ,   0.0000
   25 , 12.416 , 33.973 , 5.312  , 1.628   , 25.711  ,   0.0000
   26 , 12.32  , 34.002 , 5.251  , 1.626   , 25.752  ,   0.0000
   28 , 12.236 , 34.025 , 5.081  , 1.384   , 25.787  ,   0.0000
   30 , 12.108 , 34.058 , 4.939  , 1.257   , 25.837  ,   0.0000
   35 , 10.647 , 34.164 , 4.573  , 1.46    , 26.186  ,   0.0000
   40 , 9.733  , 34.119 , 3.504  , 0.681   , 26.309  ,   0.0000
   45 , 9.8    , 34.245 , 2.487  , 0.465   , 26.397  ,   0.0000
   50 , 9.621  , 34.279 , 1.946  , 0.2     , 26.453  ,   0.0000
   60 , 9.456  , 34.324 , 1.647  , 0.085   , 26.515  ,   0.0000
   70 , 9.405  , 34.345 , 1.499  , 0.073   , 26.539  ,   0.0000
   75 , 9.376  , 34.352 , 1.287  , 0.072   , 26.55   ,   0.0000
   80 , 9.354  , 34.356 , 1.228  , 0.068   , 26.557  ,   0.0000
   90 , 9.33   , 34.362 , 1.158  , 0.063   , 26.565  ,   0.0000
  100 , 9.292  , 34.373 , 0.948  , 0.068   , 26.58   ,   0.0000
  102 , 9.29   , 34.373 , 0.931  , 0.089   , 26.58   ,   0.0000
