RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.179 , 33.054 , 6.371  , 0.699   , 24.433  ,   0.0000
    2 , 15.178 , 33.055 , 6.351  , 0.595   , 24.434  ,   0.0000
    4 , 15.163 , 33.062 , 6.313  , 0.625   , 24.445  ,   0.0000
    5 , 15.148 , 33.072 , 6.342  , 0.633   , 24.46   ,   0.0000
    6 , 14.78  , 33.159 , 6.504  , 0.877   , 24.6    ,   0.0000
    8 , 14.194 , 33.315 , 6.805  , 1.025   , 24.841  ,   0.0000
   10 , 14.037 , 33.331 , 6.937  , 3.3     , 24.893  ,   0.0000
   12 , 13.643 , 33.356 , 7.021  , 5.052   , 24.994  ,   0.0000
   14 , 12.588 , 33.543 , 6.181  , 4.634   , 25.342  ,   0.0000
   15 , 12.271 , 33.599 , 5.851  , 5.824   , 25.449  ,   0.0000
   16 , 12.03  , 33.635 , 5.537  , 1.475   , 25.529  ,   0.0000
   18 , 11.328 , 33.794 , 5.05   , 0.886   , 25.766  ,   0.0000
   20 , 10.717 , 33.906 , 3.862  ,         , 25.973  ,   0.0000
   22 , 10.135 , 33.891 , 4.027  , 0.124   , 26.058  ,   0.0000
   24 , 9.642  , 33.896 , 3.939  , 0.11    , 26.146  ,   0.0000
   25 , 9.526  , 33.899 , 3.898  , 0.11    , 26.169  ,   0.0000
   26 , 9.448  , 33.903 , 3.956  , 0.09    , 26.185  ,   0.0000
   28 , 9.421  , 33.904 , 4.119  , 0.077   , 26.193  ,   0.0000
   30 , 9.385  , 33.909 , 4.195  , 0.091   , 26.202  ,   0.0000
   35 , 9.256  , 33.923 , 4.111  , 0.081   , 26.234  ,   0.0000
   40 , 9.211  , 34.004 , 4.05   , 0.078   , 26.302  ,   0.0000
   45 , 9.425  , 34.142 , 2.72   , 0.079   , 26.378  ,   0.0000
   50 , 9.36   , 34.183 , 2.607  , 0.079   , 26.42   ,   0.0000
   53 , 9.328  , 34.198 , 2.402  , 0.057   , 26.437  ,   0.0000
