RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.935 , 34.367 , 7.354  , 3.16    , 25.034  ,   0.0000
    2 , 16.639 , 34.378 , 5.749  , 1.553   , 25.132  ,   0.0000
    4 , 15.835 , 34.384 , 7.047  , 2.749   , 25.337  ,   0.0000
    5 , 15.532 , 34.383 , 7.372  , 2.612   , 25.366  ,   0.0000
    6 , 15.33  , 34.381 , 7.85   , 2.724   , 25.42   ,   0.0000
    8 , 14.982 , 34.381 , 7.696  , 4.266   , 25.504  ,   0.0000
   10 , 14.423 , 34.39  , 6.754  , 3.854   , 25.648  ,   0.0000
   12 , 13.789 , 34.385 , 7.285  , 4.579   , 25.765  ,   0.0000
   14 , 12.753 , 34.375 , 5.851  , 3.772   , 25.948  ,   0.0000
   15 , 12.126 , 34.395 , 4.597  , 3.102   , 26.079  ,   0.0000
   16 , 11.719 , 34.418 , 3.561  , 1.674   , 26.189  ,   0.0000
   18 , 11.082 , 34.454 , 2.036  , 1.188   , 26.33   ,   0.0000
   20 , 11.216 , 34.442 , 1.176  , 0.94    , 26.306  ,   0.0000
   22 , 11.047 , 34.442 , 1.023  , 0.384   , 26.333  ,   0.0000
   24 , 11.002 , 34.443 , 0.966  , 0.348   , 26.341  ,   0.0000
   25 , 10.979 , 34.442 , 0.942  , 0.443   , 26.344  ,   0.0000
   26 , 10.967 , 34.441 , 0.931  , 0.453   , 26.346  ,   0.0000
   28 , 10.959 , 34.449 , 0.968  , 0.236   , 26.356  ,   0.0000
   30 , 10.837 , 34.473 , 0.838  , 0.203   , 26.394  ,   0.0000
   35 , 10.83  , 34.493 , 0.621  , 0.112   , 26.411  ,   0.0000
   40 , 10.755 , 34.511 , 0.566  , 0.112   , 26.438  ,   0.0000
   45 , 10.696 , 34.533 , 0.303  , 0.109   , 26.465  ,   0.0000
   50 , 10.702 , 34.572 , 0.161  , 0.083   , 26.495  ,   0.0000
   60 , 10.681 , 34.583 , 0.061  , 0.072   , 26.508  ,   0.0000
   70 , 10.649 , 34.582 , 0.058  , 0.066   , 26.513  ,   0.0000
   75 , 10.649 , 34.582 , 0.057  , 0.065   , 26.513  ,   0.0000
   80 , 10.639 , 34.588 , 0.055  , 0.065   , 26.519  ,   0.0000
   90 , 10.382 , 34.574 , 0.138  , 0.073   , 26.552  ,   0.0000
  100 , 10.359 , 34.59  , 0.133  , 0.071   , 26.57   ,   0.0000
  112 , 10.22  , 34.593 , 0.079  , 0.062   , 26.596  ,   0.0000
