RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    2 , 14.038 , 31.042 , 6.047  , 0.736   , 23.115  ,   0.0000
    4 , 14.469 , 32.306 , 5.967  , 0.724   , 24.026  ,   0.0000
    5 , 14.593 , 32.829 , 5.956  , 0.935   , 24.399  ,   0.0000
    6 , 14.617 , 33.138 , 6.004  , 1.303   , 24.62   ,   0.0000
    8 , 14.443 , 33.14  , 6.015  , 1.655   , 24.657  ,   0.0000
   10 , 14.228 , 33.157 , 5.994  , 1.715   , 24.713  ,   0.0000
   12 , 14.171 , 33.194 , 6.043  , 1.748   , 24.757  ,   0.0000
   14 , 14.153 , 33.224 , 6.034  , 2.451   , 24.789  ,   0.0000
   15 , 14.079 , 33.246 , 6.027  , 1.565   , 24.816  ,   0.0000
   16 , 13.866 , 33.307 , 6.044  , 1.727   , 24.901  ,   0.0000
   18 , 13.794 , 33.328 , 5.923  , 2.917   , 24.94   ,   0.0000
   20 , 13.68  , 33.319 , 5.858  , 1.419   , 24.954  ,   0.0000
   22 , 13.518 , 33.309 , 5.772  , 3.753   , 24.982  ,   0.0000
   24 , 13.121 , 33.539 , 5.8    , 1.976   , 25.244  ,   0.0000
   25 , 12.596 , 33.756 , 5.8    , 3.111   , 25.506  ,   0.0000
   26 , 12.33  , 33.846 , 5.76   , 1.817   , 25.648  ,   0.0000
   28 , 11.237 , 33.982 , 5.621  , 2.695   , 25.923  ,   0.0000
   30 , 10.989 , 34.049 , 4.465  , 0.86    , 26.035  ,   0.0000
   35 , 9.832  , 34.256 , 2.593  , 0.636   , 26.4    ,   0.0000
   40 , 9.565  , 34.285 , 2.087  , 0.38    , 26.467  ,   0.0000
   45 , 9.492  , 34.32  , 1.888  , 0.292   , 26.506  ,   0.0000
   50 , 9.486  , 34.323 , 1.498  , 0.291   , 26.509  ,   0.0000
   60 , 9.451  , 34.331 , 1.436  , 0.284   , 26.521  ,   0.0000
   70 , 9.447  , 34.332 , 1.425  , 0.264   , 26.523  ,   0.0000
   75 , 9.441  , 34.336 , 1.394  , 0.264   , 26.527  ,   0.0000
   80 , 9.396  , 34.348 , 1.264  , 0.265   , 26.543  ,   0.0000
   90 , 9.343  , 34.366 , 1.089  , 0.264   , 26.567  ,   0.0000
   93 , 9.325  , 34.372 , 1.067  , 0.264   , 26.574  ,   0.0000
