RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 13.965 , 34.125 , 6.367  , 14.21   , 25.511  ,   0.0000
    2 , 14.054 , 34.133 , 6.437  ,         , 25.507  ,   0.0000
    4 , 14.038 , 34.136 , 6.47   ,         , 25.513  ,   0.0000
    5 , 13.955 , 34.14  , 6.49   , 14.41   , 25.542  ,   0.0000
    6 , 13.316 , 34.154 , 5.675  ,         , 25.667  ,   0.0000
    8 , 12.193 , 34.199 , 5      ,         , 25.926  ,   0.0000
   10 , 10.768 , 34.277 , 1.587  , 17.81   , 26.255  ,   0.0000
   12 , 10.215 , 34.324 , 1.15   ,         , 26.387  ,   0.0000
   14 , 10.086 , 34.359 , 0.432  ,         , 26.436  ,   0.0000
   15 , 10.052 , 34.361 , 0.113  ,         , 26.444  ,   0.0000
   16 , 10.01  , 34.364 , 0.115  ,         , 26.452  ,   0.0000
