RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 13.984 , 33.706 , 6.631  , 2.742   , 25.19   ,   0.0000
    2 , 13.985 , 33.706 , 6.657  , 3.823   , 25.19   ,   0.0000
    4 , 13.984 , 33.706 , 6.654  , 4.216   , 25.19   ,   0.0000
    5 , 13.985 , 33.706 , 6.657  , 3.899   , 25.191  ,   0.0000
    6 , 13.982 , 33.706 , 6.635  , 3.742   , 25.191  ,   0.0000
    8 , 13.977 , 33.706 , 6.639  , 3.876   , 25.192  ,   0.0000
   10 , 13.977 , 33.707 , 6.637  , 3.99    , 25.192  ,   0.0000
   12 , 13.974 , 33.707 , 6.644  , 3.746   , 25.193  ,   0.0000
   14 , 13.973 , 33.707 , 6.623  , 3.553   , 25.194  ,   0.0000
   15 , 13.969 , 33.708 , 6.619  , 3.672   , 25.195  ,   0.0000
   16 , 13.97  , 33.708 , 6.626  , 4.443   , 25.195  ,   0.0000
   18 , 13.963 , 33.709 , 6.628  , 3.649   , 25.197  ,   0.0000
   20 , 13.957 , 33.709 , 6.626  , 3.701   , 25.199  ,   0.0000
   22 , 13.908 , 33.716 , 6.6    , 3.65    , 25.214  ,   0.0000
   24 , 13.887 , 33.72  , 6.588  , 4.578   , 25.221  ,   0.0000
   25 , 13.884 , 33.726 , 6.582  , 3.54    , 25.226  ,   0.0000
   26 , 13.886 , 33.729 , 6.496  , 4.312   , 25.229  ,   0.0000
   28 , 13.745 , 33.752 , 6.487  , 4.726   , 25.274  ,   0.0000
   30 , 13.452 , 33.786 , 6.194  , 3.013   , 25.36   ,   0.0000
   35 , 12.372 , 33.83  , 5.678  , 0.726   , 25.611  ,   0.0000
   40 , 11.464 , 33.858 , 5.127  , 0.98    , 25.8    ,   0.0000
   45 , 10.947 , 33.856 , 4.937  , 0.796   , 25.894  ,   0.0000
   50 , 10.707 , 33.852 , 5.008  , 0.723   , 25.933  ,   0.0000
   60 , 10.497 , 33.881 , 4.945  , 0.083   , 25.993  ,   0.0000
   70 , 10.181 , 33.97  , 4.494  ,         , 26.117  ,   0.0000
   75 , 10.167 , 33.989 , 4.289  ,         , 26.134  ,   0.0000
   80 , 10.221 , 34.061 , 4.291  ,         , 26.181  ,   0.0000
   90 , 9.949  , 34.098 , 3.809  ,         , 26.256  ,   0.0000
  100 , 9.999  , 34.214 , 2.838  ,         , 26.339  ,   0.0000
  120 , 10.075 , 34.354 , 1.463  ,         , 26.435  ,   0.0000
  125 , 10.039 , 34.349 , 1.541  ,         , 26.438  ,   0.0000
  140 , 9.697  , 34.341 , 1.581  ,         , 26.488  ,   0.0000
  150 , 9.62   , 34.407 , 0.812  ,         , 26.552  ,   0.0000
  160 , 9.631  , 34.439 , 0.61   ,         , 26.576  ,   0.0000
  170 , 9.625  , 34.46  , 0.522  ,         , 26.593  ,   0.0000
  175 , 9.607  , 34.467 , 0.526  ,         , 26.602  ,   0.0000
  180 , 9.579  , 34.475 , 0.53   ,         , 26.612  ,   0.0000
  190 , 9.549  , 34.494 , 0.492  ,         , 26.633  ,   0.0000
  200 , 9.602  , 34.514 , 0.396  ,         , 26.64   ,   0.0000
  225 , 9.447  , 34.513 , 0.428  ,         , 26.664  ,   0.0000
  250 , 9.285  , 34.503 , 0.484  ,         , 26.683  ,   0.0000
  275 , 9.113  , 34.503 , 0.544  ,         , 26.711  ,   0.0000
  300 , 8.946  , 34.503 , 0.6    ,         , 26.737  ,   0.0000
  325 , 8.824  , 34.492 , 0.68   ,         , 26.748  ,   0.0000
  350 , 8.539  , 34.477 , 0.83   ,         , 26.782  ,   0.0000
  375 , 8.182  , 34.457 , 1.039  ,         , 26.821  ,   0.0000
  400 , 7.796  , 34.423 , 1.557  ,         , 26.851  ,   0.0000
  425 , 7.09   , 34.362 , 2.484  ,         , 26.904  ,   0.0000
  450 , 6.715  , 34.334 , 2.981  ,         , 26.933  ,   0.0000
  475 , 6.385  , 34.311 , 3.433  ,         , 26.959  ,   0.0000
  500 , 6.207  , 34.296 , 3.79   ,         , 26.972  ,   0.0000
  502 , 6.153  , 34.293 , 3.87   ,         , 26.975  ,   0.0000
