RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 16.379 , 34.354 , 5.683  , 1.384   , 25.164  ,   0.0000
    2 , 16.313 , 34.365 , 5.657  , 1.447   , 25.187  ,   0.0000
    4 , 16.252 , 34.365 , 5.684  , 1.545   , 25.204  ,   0.0000
    5 , 16.228 , 34.364 , 5.659  , 1.48    , 25.24   ,   0.0000
    6 , 15.448 , 34.367 , 5.714  , 1.749   , 25.381  ,   0.0000
    8 , 14.451 , 34.366 , 5.759  , 2.204   , 25.596  ,   0.0000
   10 , 13.503 , 34.378 , 5.526  , 2.843   , 25.797  ,   0.0000
   12 , 13.088 , 34.367 , 5.108  , 2.975   , 25.894  ,   0.0000
   14 , 12.363 , 34.374 , 5.004  , 2.6     , 26.027  ,   0.0000
   15 , 12.114 , 34.378 , 4.684  , 2.363   , 26.08   ,   0.0000
   16 , 11.931 , 34.376 , 4.181  , 2.416   , 26.119  ,   0.0000
   18 , 11.539 , 34.389 , 3.715  , 1.744   , 26.198  ,   0.0000
   20 , 11.48  , 34.393 , 3.2    , 1.435   , 26.215  ,   0.0000
   22 , 11.453 , 34.39  , 2.836  , 1.224   , 26.218  ,   0.0000
   24 , 11.36  , 34.395 , 2.796  , 1.103   , 26.238  ,   0.0000
   25 , 11.322 , 34.398 , 2.69   , 1.05    , 26.248  ,   0.0000
   26 , 11.278 , 34.401 , 2.565  , 1.084   , 26.258  ,   0.0000
   28 , 11.229 , 34.404 , 2.238  , 0.866   , 26.27   ,   0.0000
   30 , 11.214 , 34.406 , 2.235  , 0.898   , 26.275  ,   0.0000
   35 , 11.188 , 34.429 , 2.001  , 0.85    , 26.297  ,   0.0000
   40 , 11.223 , 34.481 , 1.806  , 0.711   , 26.331  ,   0.0000
   45 , 11.157 , 34.508 , 1.282  , 0.538   , 26.364  ,   0.0000
   50 , 11.126 , 34.525 , 1.026  , 0.433   , 26.383  ,   0.0000
   60 , 11.087 , 34.568 , 0.777  , 0.34    , 26.423  ,   0.0000
   70 , 11.009 , 34.594 , 0.492  , 0.264   , 26.458  ,   0.0000
   75 , 10.999 , 34.595 , 0.421  , 0.263   , 26.461  ,   0.0000
   80 , 10.99  , 34.599 , 0.383  , 0.264   , 26.465  ,   0.0000
   90 , 10.952 , 34.613 , 0.294  , 0.252   , 26.483  ,   0.0000
  100 , 10.919 , 34.623 , 0.227  , 0.248   , 26.497  ,   0.0000
  120 , 10.851 , 34.631 , 0.146  , 0.25    , 26.515  ,   0.0000
  125 , 10.847 , 34.632 , 0.145  , 0.248   , 26.516  ,   0.0000
  132 , 10.84  , 34.632 , 0.139  , 0.25    , 26.518  ,   0.0000
