RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 14.043 , 33.348 , 6.977  , 6.22    , 24.902  ,   0.0000
    2 , 13.874 , 33.36  , 6.998  , 7.031   , 24.945  ,   0.0000
    4 , 13.838 , 33.366 , 7.034  , 6.072   , 24.962  ,   0.0000
    5 , 13.684 , 33.377 , 7.034  , 5.728   , 25      ,   0.0000
    6 , 13.289 , 33.418 , 7.144  , 8.579   , 25.11   ,   0.0000
    8 , 12.908 , 33.429 , 7.242  , 11.606  , 25.194  ,   0.0000
   10 , 12.488 , 33.45  , 7.113  , 16.366  , 25.289  ,   0.0000
   12 , 12.24  , 33.47  , 6.308  , 21.757  , 25.357  ,   0.0000
   14 , 11.761 , 33.549 , 6.018  , 15.556  , 25.515  ,   0.0000
   15 , 11.233 , 33.642 , 5.817  , 13.81   , 25.664  ,   0.0000
   16 , 11.042 , 33.7   , 5.38   , 8.443   , 25.75   ,   0.0000
   18 , 10.84  , 33.759 , 4.128  , 5.418   , 25.836  ,   0.0000
   20 , 10.828 , 33.764 , 4.181  , 1.73    , 25.844  ,   0.0000
   22 , 10.591 , 33.802 , 4.16   , 1.353   , 25.915  ,   0.0000
   24 , 10.143 , 33.805 , 4.144  , 1.424   , 25.992  ,   0.0000
   25 , 10.018 , 33.803 , 4.142  , 0.279   , 26.013  ,   0.0000
   26 , 9.985  , 33.802 , 4.151  , 0.384   , 26.019  ,   0.0000
   28 , 9.948  , 33.807 , 4.213  , 0.122   , 26.032  ,   0.0000
   30 , 9.721  , 33.85  , 4.12   , 0.136   , 26.1    ,   0.0000
   35 , 9.601  , 33.972 , 3.254  , 0.074   , 26.216  ,   0.0000
   40 , 9.316  , 34.008 , 3.034  , 0.021   , 26.293  ,   0.0000
   45 , 9.004  , 34.044 , 3.66   , 0.015   , 26.369  ,   0.0000
   50 , 8.917  , 34.077 , 3.575  ,         , 26.408  ,   0.0000
   60 , 9.003  , 34.167 , 2.996  ,         , 26.466  ,   0.0000
   70 , 9.019  , 34.252 , 2.365  ,         , 26.529  ,   0.0000
   75 , 9.03   , 34.273 , 2.104  ,         , 26.544  ,   0.0000
   80 , 9.187  , 34.328 , 1.946  ,         , 26.563  ,   0.0000
   90 , 9.184  , 34.378 , 1.399  ,         , 26.601  ,   0.0000
  100 , 9.126  , 34.395 , 1.307  ,         , 26.625  ,   0.0000
  120 , 8.953  , 34.417 , 0.997  ,         , 26.669  ,   0.0000
  125 , 8.918  , 34.417 , 0.906  ,         , 26.675  ,   0.0000
  140 , 8.785  , 34.411 , 0.798  ,         , 26.691  ,   0.0000
  145 , 8.774  , 34.411 , 0.764  ,         , 26.693  ,   0.0000
