-1,Reclutamiento de Anchoveta CentroSur mayo 2012,,,,,,
-1,Abate Molina,,,,,,
-1,centrosur,,,,,,
-1,estaciones oceanográficas,,,,,,
001,120506,sin ,sin dato,4130.0,S,7351.9,W
002,120506,dato,prof,4140.0,S,7354.6,W
003,120506,dist costa,eco,4140.0,S,7400.1,W
004,120506,,,4140.0,S,7406.8,W
005,120506,,,4140.0,S,7421.7,W
006,120508,,,4120.0,S,7353.7,W
007,120508,,,4120.0,S,7358.0,W
008,120508,,,4120.0,S,7404.8,W
009,120508,,,4120.0,S,7418.2,W
010,120508,,,4120.0,S,7430.7,W
011,120508,,,4110.0,S,7356.4,W
012,120509,,,4100.0,S,7358.4,W
013,120509,,,4100.0,S,7403.8,W
014,120509,,,4100.0,S,7410.6,W
015,120509,,,4100.0,S,7420.0,W
016,120509,,,4050.0,S,7354.6,W
017,120509,,,4030.0,S,7347.1,W
018,120510,,,4040.0,S,7351.3,W
019,120510,,,4040.0,S,7356.5,W
020,120510,,,4040.0,S,7403.0,W
021,120510,,,4040.0,S,7418.4,W
022,120510,,,4010.0,S,7344.1,W
023,120511,,,4020.0,S,7347.8,W
024,120511,,,4020.0,S,7353.3,W
025,120511,,,4020.0,S,7359.8,W
026,120511,,,4020.0,S,7418.4,W
027,120511,,,3950.0,S,7326.6,W
028,120512,,,4000.0,S,7344.7,W
029,120512,,,4000.0,S,7350.0,W
030,120512,,,4000.0,S,7355.1,W
031,120512,,,4000.0,S,7409.3,W
032,120512,,,3930.0,S,7318.0,W
033,120513,,,3940.0,S,7325.3,W
034,120513,,,3940.0,S,7331.3,W
035,120513,,,3940.0,S,7337.1,W
036,120513,,,3940.0,S,7350.1,W
037,120513,,,3940.0,S,7404.5,W
038,120513,,,3910.0,S,7319.0,W
039,120514,,,3920.0,S,7316.4,W
040,120514,,,3919.4,S,7321.5,W
041,120514,,,3920.0,S,7328.0,W
042,120514,,,3920.0,S,7340.8,W
043,120514,,,3920.0,S,7356.7,W
044,120514,,,3850.0,S,7326.0,W
045,120515,,,3900.0,S,7322.6,W
046,120515,,,3900.0,S,7327.6,W
047,120515,,,3900.0,S,7335.2,W
048,120515,,,3900.0,S,7347.5,W
049,120515,,,3900.0,S,7355.4,W
050,120515,,,3840.0,S,7403.0,W
051,120515,,,3840.0,S,7343.0,W
052,120515,,,3840.0,S,7336.6,W
053,120515,,,3840.0,S,7332.0,W
054,120516,,,3830.0,S,7333.7,W
055,120516,,,3820.0,S,7332.9,W
056,120516,,,3820.0,S,7341.2,W
057,120517,,,3820.0,S,7349.4,W
058,120517,,,3820.0,S,7404.3,W
059,120517,,,3820.0,S,7409.5,W
060,120517,,,3810.0,S,7330.6,W
061,120518,,,3800.0,S,7331.2,W
062,120518,,,3800.0,S,7336.4,W
063,120518,,,3800.0,S,7342.8,W
064,120518,,,3800.0,S,7401.9,W
065,120519,,,3750.0,S,7339.1,W
066,120520,,,3740.0,S,7342.7,W
067,120520,,,3740.0,S,7348.0,W
068,120520,,,3740.0,S,7353.0,W
069,120520,,,3720.0,S,7343.1,W
070,120521,,,3720.0,S,7350.5,W
071,120521,,,3730.0,S,7340.6,W
072,120522,,,3700.0,S,7327.8,W
073,120522,,,3700.0,S,7320.4,W
074,120522,,,3700.0,S,7312.7,W
075,120522,,,3710.0,S,7330.0,W
076,120522,,,3710.0,S,7323.0,W
077,120522,,,3710.0,S,7314.1,W
078,120522,,,3650.0,S,7312.9,W
079,120522,,,3650.0,S,7320.6,W
080,120523,,,3650.0,S,7329.0,W
081,120523,,,3700.0,S,7335.6,W
082,120523,,,3700.0,S,7349.5,W
083,120523,,,3710.0,S,7340.8,W
084,120523,,,3640.0,S,7310.3,W
085,120523,,,3640.0,S,7315.4,W
086,120523,,,3640.0,S,7321.8,W
087,120524,,,3640.0,S,7336.5,W
088,120528,,,3630.0,S,7259.3,W
089,120529,,,3620.0,S,7253.0,W
090,120529,,,3620.0,S,7258.0,W
091,120529,,,3620.0,S,7304.4,W
092,120529,,,3620.0,S,7316.8,W
093,120529,,,3620.0,S,7334.6,W
094,120530,,,3600.0,S,7330.1,W
095,120530,,,3600.0,S,7312.4,W
096,120530,,,3600.0,S,7259.8,W
097,120530,,,3600.0,S,7253.5,W
098,120530,,,3600.0,S,7248.5,W
099,120530,,,3550.0,S,7241.8,W
100,120530,,,3540.0,S,7238.9,W
101,120530,,,3540.0,S,7243.7,W
102,120531,,,3540.0,S,7250.3,W
103,120531,,,3540.0,S,7257.4,W
104,120531,,,3540.0,S,7311.2,W
105,120106,,,3520.0,S,7230.5,W
106,120106,,,3520.0,S,7235.5,W
107,120106,,,3520.0,S,7241.8,W
108,120206,,,3520.0,S,7259.0,W
109,120206,,,3530.0,S,7238.8,W
110,120206,,,3510.0,S,7220.9,W
111,120206,,,3500.0,S,7214.5,W
112,120306,,,3500.0,S,7219.5,W
113,120306,,,3500.0,S,7223.4,W
114,120306,,,3500.0,S,7236.0,W
115,120406,,,3430.0,S,7203.9,W
116,120406,,,3440.0,S,7205.1,W
117,120406,,,3440.0,S,7210.1,W
118,120406,,,3440.0,S,7215.7,W
119,120406,,,3450.0,S,7211.2,W
120,120406,,,3420.0,S,7215.5,W
121,120406,,,3420.0,S,7207.9,W
122,120406,,,3420.0,S,7159.7,W
123,120506,,,3410.0,S,7202.4,W
124,120506,,,3350.0,S,7155.5,W
125,120606,,,3400.0,S,7156.7,W
126,120606,,,3400.0,S,7201.4,W
127,120606,,,3400.0,S,7207.6,W
128,120606,,,3400.0,S,7214.4,W
,,,,,,,
