NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Cope,Anfi,Apen,Cten,Eufa,Fora,Doli,Hete,Misi,Medu,Naup,Ophi,Ostr,Pleu,Pter,Quet,Radi,Salp,Sifo,Esto,Tomo,Caly,Cuma,Furc,Hueinv,Huepec,Juvcam,Larcif,Larcip,Larcri,LarDis,Largas,Larpec,Larpol, Laroph,Lartro,Mega,zoeas,Cefa,Juvpec
40,40,18,16,1,2012,3640,7310,152.9,0.0,2.6,4.8,1.2,0.0,8.3,0.2,0.0,30.2,5.2,0.0,0.0,0.0,4.3,2.1,0.0,1.0,61.9,0.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.2,0.7,2.4,0.7,0.7,3.1,0.0,0.0
41,41,18,16,1,2012,3640,7315,88.3,0.0,0.3,0.1,0.4,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.4,0.0,0.0,3.6,0.1,4.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0
42,42,18,16,1,2012,3640,7321,140.9,0.0,0.0,0.4,0.4,0.0,1.7,0.0,0.0,0.6,0.0,0.0,0.6,0.4,0.0,1.1,0.0,0.0,4.1,0.1,1.7,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.3,0.9,0.0,0.0,0.6,0.0,0.0
43,43,18,16,1,2012,3640,7336,39.6,0.3,0.3,0.1,0.7,0.0,1.1,0.1,0.0,0.1,0.6,0.0,1.1,0.0,0.4,2.4,0.7,0.0,1.1,0.1,0.9,5.7,0.0,1.3,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0
44,44,18,16,1,2012,3640,7350,74.9,0.3,0.4,0.0,0.1,0.3,2.4,0.3,0.0,0.1,0.9,0.0,0.7,0.0,0.6,9.6,1.3,0.4,0.9,0.0,0.7,1.0,0.0,2.7,0.7,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0
45,45,17,16,1,2012,3630,7259,80.9,0.0,8.9,7.3,0.0,0.7,33.6,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.7,0.9,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,5.9,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.2,2.0,0.0,0.0
46,46,19,16,1,2012,3650,7313,304.4,0.6,0.9,2.0,0.0,0.0,0.0,0.0,0.0,7.7,1.4,0.6,0.0,0.0,1.4,1.7,0.0,0.0,32.1,0.6,3.4,0.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9,2.0,0.0,0.0,0.3,0.0,0.0
47,47,19,16,1,2012,3650,7329,222.0,0.0,0.3,0.3,2.3,0.0,2.6,0.0,0.0,1.4,0.0,0.0,0.3,0.3,0.0,5.7,0.0,0.3,1.4,0.3,3.7,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0
48,48,19,17,1,2012,3650,7320,156.7,0.1,0.4,0.4,1.4,0.0,2.3,0.0,0.6,1.6,0.1,0.0,1.7,0.4,0.0,3.0,0.3,0.3,5.9,0.0,6.9,0.0,0.0,1.3,0.3,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.7,0.1,0.1,1.1,0.0,0.1
49,49,20,18,1,2012,3700,7335,275.0,2.9,0.0,0.0,49.3,0.0,1.4,0.0,0.7,5.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,10.7,2.1,0.0,0.0,0.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,7.9,0.7,0.0
54,54,404,19,1,2012,3710,7323,5.4,0.7,0.0,0.4,0.4,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.4,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
55,55,404,19,1,2012,3710,7314,147.1,0.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,402,20,1,2012,3700,7312,38.6,1.9,0.0,8.8,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,2.9,0.0,0.0,0.0,1.0,1.9,0.0,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.2,0.0,0.2,1.7,0.0,0.0
57,57,402,20,1,2012,3700,7320,181.4,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,8.1,0.5,0.0,0.0,1.9,0.0,0.5,0.0,2.4,20.0,0.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0
58,58,402,20,1,2012,3700,7327,124.3,2.8,0.0,2.6,0.3,0.0,0.5,0.0,0.0,2.6,0.3,0.0,0.0,0.3,0.0,2.3,0.0,3.9,13.1,0.0,7.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,4.1,0.5,0.0,0.0,1.0,0.0,0.0
59,59,21,20,1,2012,3710,7341,101.6,0.6,0.0,0.0,30.8,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.4,8.4,0.0,2.7,0.0,0.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,29.6,0.0,0.0,0.2,1.0,0.0,0.0
60,60,22,20,1,2012,3720,7343,54.8,1.1,0.0,3.6,6.1,0.0,0.0,0.0,0.2,1.4,0.2,0.0,0.2,0.0,0.4,0.2,0.2,0.2,9.0,0.2,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.2,0.0,0.2,6.6,0.0,0.0
61,61,22,21,1,2012,3720,7348,125.9,0.1,0.0,0.3,1.9,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.3,0.1,0.0,1.7,0.0,0.0,0.0,0.0,3.1,0.0,0.0,3.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.3,1.3,0.0,0.0
62,62,22,21,1,2012,3720,7355,73.6,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,1.1,0.6,0.0,0.1,0.2,0.0,3.5,0.0,1.5,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,3.0,0.1,0.1,0.1,0.1,0.0,0.0
63,63,22,21,1,2012,3720,7415,44.3,0.1,0.4,0.1,0.1,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.6,0.4,0.3,0.1,0.4,4.4,0.0,2.7,2.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0
64,64,23,21,1,2012,3730,7340,13.6,4.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,2.3,0.0,1.2,0.2,0.0,0.0,0.0,0.1,1.4,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
65,65,25,21,1,2012,3750,7339,27.8,1.4,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
66,66,24,22,1,2012,3740,7406,171.9,0.4,2.3,0.6,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.6,0.0,0.9,1.3,4.4,11.6,0.0,1.8,0.9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1
67,67,24,22,1,2012,3740,7355,255.6,0.6,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,1.6,1.0,0.0,0.0,0.1,0.1,1.0,0.0,0.6,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
68,68,24,22,1,2012,3740,7347,160.4,0.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.4,2.2,0.0,0.0,0.0,0.1,1.5,0.0,1.9,2.9,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,24,22,1,2012,3740,7342,154.1,0.6,0.0,0.2,1.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.6,0.0,0.0,2.5,1.4,0.0,2.1,0.0,0.6,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0
70,70,26,22,1,2012,3800,7331,5.1,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0
71,71,26,22,1,2012,3800,7336,200.1,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,0.0,0.0,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,26,22,1,2012,3800,7342,1075.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,7.5,0.6,0.0,0.0,10.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.3,0.0,0.0
73,73,26,23,1,2012,3800,7401,176.6,0.1,0.9,0.9,2.6,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.4,0.0,0.1,1.1,3.3,1.7,0.0,4.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.9,0.0,0.0
74,74,29,23,1,2012,3830,7337,308.6,9.3,79.3,1.4,0.0,0.0,2.1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.4,7.1,0.0,6.4,4.3,5.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.0,0.0,7.1,0.0,0.0
75,75,30,23,1,2012,3840,7403,333.8,0.6,16.7,0.0,0.6,0.0,11.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.6,1.2,0.6,0.6,0.6,2.3,2.3,0.6,18.5,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,30,24,1,2012,3840,7343,193.0,0.4,3.5,0.0,2.2,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.4,0.9,0.0,20.7,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
77,77,30,24,1,2012,3840,7336,183.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,30,24,1,2012,3840,7331,85.4,10.0,1.8,0.0,4.3,0.4,0.0,0.0,0.0,59.6,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.7,0.0,0.4,0.0,34.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0
80,80,28,24,1,2012,3820,7332,365.6,11.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
81,81,28,24,1,2012,3820,7341,996.8,0.7,22.9,4.4,0.7,0.0,0.0,0.0,0.7,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7,0.0,0.0,1.5,9.6,0.0,5.9,0.7,2.2,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.5,0.0,0.0
82,82,28,25,1,2012,3820,7349,294.9,3.0,148.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,52.6,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
83,83,28,25,1,2012,3820,7404,1353.5,0.9,11.2,1.7,22.4,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,4.3,0.0,0.9,0.0,2.6,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,5.2,0.0,0.0
84,84,31,25,1,2012,3850,7326,21.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,2.5,0.0,0.0
85,85,33,25,1,2012,3910,7319,758.3,4.3,35.6,2.2,0.0,0.0,0.0,0.0,0.0,25.9,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,2.2,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0
86,86,32,26,1,2012,3900,7322,2888.0,0.0,36.6,9.5,0.0,0.0,0.0,0.0,3.2,329.0,11.1,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,52.5,0.0,0.0,0.0,3.2,1.6,0.0,4.8,0.0,4.8,3.2,4.8,0.0,0.0,15.9,0.0,0.0
87,87,32,26,1,2012,3900,7327,1468.1,13.8,50.5,2.3,5.7,1.1,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,11.5,1.1,26.4,44.8,0.0,0.0,0.0,0.0,0.0,1.1,0.0,4.6,0.0,0.0,0.0,0.0,2.3,0.0,0.0
88,88,32,26,1,2012,3900,7335,525.7,7.9,25.3,0.5,6.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4.3,0.0,3.6,0.0,0.0,0.2,0.5,0.0,3.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.5,0.0,0.0
89,89,32,26,1,2012,3900,7355,252.8,0.9,6.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,4.6,1.7,2.9,0.0,0.3,0.9,4.3,0.0,20.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
90,90,35,26,1,2012,3930,7319,2350.8,1.6,58.8,3.2,0.0,0.0,0.0,0.0,3.2,14.3,3.2,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,42.9,1.6,12.7,4.8,0.0,0.0,0.0,1.6,1.6,0.0,4.8,0.0,0.0,6.4,1.6,1.6,0.0,81.1,0.0,0.0
91,91,34,26,1,2012,3920,7317,698.4,4.3,6.5,7.9,0.0,0.7,0.0,0.0,1.4,96.8,8.6,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.4,1.4,68.8,0.0,7.9,0.7,0.0,0.0,0.0,0.7,0.7,0.0,1.4,0.7,0.0,1.4,0.0,6.5,0.0,0.0
92,92,34,26,1,2012,3920,7322,10028.9,65.3,7.3,7.3,0.0,0.0,0.0,0.0,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,21.8,0.0,36.3,21.8,29.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,7.3,0.0,0.0
93,93,34,27,1,2012,3920,7328,2161.6,16.0,1.5,1.5,2.9,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,34,27,1,2012,3920,7349,51.6,0.6,9.6,0.0,0.1,0.6,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,3.3,2.2,0.7,0.1,0.7,0.0,0.0,3.8,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0
95,95,37,27,1,2012,3950,7324,2816.3,12.1,0.0,0.0,0.0,0.0,0.0,0.0,81.6,66.5,93.7,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18.1,6.0,9.1,3.0,18.1,3.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,30.2,0.0,0.0,0.0,142.0,0.0,0.0
96,96,36,28,1,2012,3940,7357,241.6,0.0,13.2,0.0,2.6,0.3,0.6,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,4.1,0.3,3.2,0.3,0.0,1.2,124.9,0.0,12.0,2.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
