NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Cope,Anfi,Apen,Cten,Eufa,Fora,Doli,Hete,Misi,Medu,Naup,Ophi,Ostr,Pleu,Pter,Quet,Radi,Salp,Sifo,Esto,Tomo,Caly,Cuma,Furc,Hueinv,Huepec,Juvcam,Larcif,Larcip,Larcri,LarDis,Largas,Larpec,Larpol, Laroph,Lartro,Mega,zoeas,Cefa,Juvpec
114,114,43,31,1,2012,4050,7354,303.3,1.4,14.6,0.3,0.0,0.6,0.3,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,115,44,1,2,2012,4100,7419,94.4,0.3,0.6,0.3,0.6,2.6,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.0,0.3,2.6,3.1,15.6,0.3,0.3,0.0,11.7,0.0,2.3,2.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0
116,116,44,1,2,2012,4100,7410,52.9,0.2,1.0,0.1,0.3,0.4,0.0,0.0,0.0,0.5,0.3,0.3,0.1,0.0,0.2,0.8,4.4,12.3,0.0,0.0,0.1,4.7,0.0,0.7,1.1,0.1,0.0,0.4,0.0,0.0,0.2,0.1,0.2,0.4,0.3,0.0,0.0,0.0,0.0,0.1
117,117,44,1,2,2012,4100,7403,84.2,0.0,10.1,0.6,0.0,0.7,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,1.6,7.0,0.1,0.1,0.4,7.7,0.0,2.3,2.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,44,1,2,2012,4100,7358,277.0,3.5,20.2,0.2,0.2,0.8,0.0,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.8,0.8,2.7,0.2,0.8,0.0,3.3,0.0,1.0,1.4,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0
119,119,45,1,2,2012,4110,7356,211.5,3.7,18.8,0.6,0.0,2.6,0.0,0.0,0.0,0.9,3.4,0.0,0.0,0.0,0.0,0.6,0.6,14.0,0.0,0.6,0.0,22.5,0.0,10.5,0.0,0.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0
120,120,47,1,2,2012,4130,7351,248.2,59.8,6.7,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,9.6,6.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
121,121,48,2,2,2012,4140,7354,1187.7,15.4,24.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,1.1,0.0,0.0,0.0
122,122,48,2,2,2012,4140,7400,550.8,3.1,11.8,1.0,0.3,0.7,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,1.7,0.3,0.7,48.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3
123,123,48,2,2,2012,4140,7406,234.8,2.2,0.9,0.3,1.6,0.1,0.0,0.0,0.0,0.7,0.4,0.1,0.6,0.0,0.3,0.3,0.3,0.0,0.0,0.1,0.0,0.3,0.0,0.3,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.1,0.0,0.0
124,124,48,2,2,2012,4140,7420,233.5,3.6,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.3,3.9,0.0,0.0,0.0,0.0,0.4,1.5,0.0,0.0,0.1,0.0,1.0,0.0,0.9,9.8,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.3,0.0,0.0
125,125,46,2,2,2012,4120,7353,254.7,6.7,1.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,163.4,0.0,0.0,0.0,16.3,0.0,1.7,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.6,0.0,0.0
126,126,46,2,2,2012,4120,7358,113.4,3.8,21.2,0.8,0.0,0.3,0.0,0.0,0.0,0.4,1.8,0.0,0.1,0.0,0.0,0.4,2.5,1.8,0.1,0.1,0.0,23.2,0.1,1.8,0.7,2.4,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.3,0.0,0.0
127,127,46,3,2,2012,4120,7405,51.0,0.4,5.2,0.6,0.0,0.0,0.0,0.1,0.0,0.7,10.0,0.1,0.0,0.0,0.0,0.1,1.8,0.0,0.1,0.0,0.0,10.4,0.0,0.2,0.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.0
128,128,46,3,2,2012,4120,7418,63.1,0.3,14.5,0.6,0.3,1.1,0.0,0.0,0.0,1.1,3.6,0.0,0.1,0.0,0.0,0.0,6.3,1.6,0.0,0.1,0.0,24.3,0.0,2.6,4.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0
129,129,46,3,2,2012,4120,7430,124.9,0.0,1.0,0.7,0.1,0.3,0.0,0.0,0.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,7.3,1.7,0.0,0.0,0.0,10.6,0.0,1.3,3.3,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.1,0.3,0.0,0.0,0.6,0.0,0.0
