NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Skel,Chae,Thal,Nitz,Cosc,Navi,Cera,Bidd,Pinn,Rhiz,Frag
93,93,34,27,1,2012,3920,7328,0,0,0,0,0,0,0,0,0,0,0
94,94,34,27,1,2012,3920,7349,0,0,0,0,0,0,0,0,0,0,0
95,95,37,27,1,2012,3950,7324,225000,0,0,0,0,0,0,0,0,0,0
96,96,36,28,1,2012,3940,7357,0,81000,0,0,0,0,0,0,0,0,0
97,97,36,28,1,2012,3940,7337,0,0,0,0,0,0,0,0,0,0,0
98,98,36,28,1,2012,3940,7331,9000,0,0,0,0,0,0,0,0,0,0
99,99,36,28,1,2012,3940,7325,18000,0,54000,0,0,0,0,0,0,0,0
100,100,38,28,1,2012,4000,7409,0,0,891000,0,0,0,0,0,0,9000,0
101,101,38,28,1,2012,4000,7355,0,0,2619000,0,0,27000,0,0,27000,45000,36000
102,102,38,28,1,2012,4000,7349,0,0,0,0,0,0,0,0,0,0,0
103,103,38,28,1,2012,4000,7344,0,0,0,0,0,0,0,0,0,0,0
104,104,39,28,1,2012,4010,7344,0,0,1512000,0,0,18000,0,0,0,36000,0
105,105,40,29,1,2012,4020,7347,0,0,1467000,0,0,0,0,0,0,36000,0
106,106,40,29,1,2012,4020,7353,0,0,2187000,0,0,0,0,0,0,27000,0
109,109,41,30,1,2012,4030,7347,0,0,0,0,0,0,0,0,0,0,0
110,110,42,31,1,2012,4040,7351,0,0,1539000,0,0,0,0,0,0,18000,0
111,111,42,31,1,2012,4040,7356,0,0,882000,0,9000,135000,0,0,0,0,72000
114,114,43,31,1,2012,4050,7354,0,0,855000,0,0,72000,0,0,0,18000,0
115,115,44,1,2,2012,4100,7419,0,0,18000,0,0,0,0,0,0,9000,0
116,116,44,1,2,2012,4100,7410,0,0,0,18000,0,0,0,0,0,9000,0
117,117,44,1,2,2012,4100,7403,0,0,144000,9000,0,0,9000,0,0,9000,0
118,118,44,1,2,2012,4100,7358,0,0,171000,0,0,0,0,0,0,9000,0
119,119,45,1,2,2012,4110,7356,0,0,414000,0,0,0,0,0,0,0,0
120,120,47,1,2,2012,4130,7351,0,0,1548000,0,0,0,0,0,0,0,0
121,121,48,2,2,2012,4140,7354,0,0,423000,0,0,0,0,0,0,0,0
122,122,48,2,2,2012,4140,7400,0,0,252000,27000,0,18000,0,0,0,27000,0
123,123,48,2,2,2012,4140,7406,0,0,441000,0,0,0,0,0,0,0,0
124,124,48,2,2,2012,4140,7420,45000,0,873000,72000,9000,0,9000,0,0,0,0
125,125,46,2,2,2012,4120,7353,0,0,99000,0,0,0,0,0,0,9000,0
126,126,46,2,2,2012,4120,7358,0,0,1872000,0,0,63000,0,0,0,0,63000
127,127,46,3,2,2012,4120,7405,0,0,198000,0,0,18000,0,0,0,0,0
128,128,46,3,2,2012,4120,7418,0,0,117000,9000,0,27000,0,0,0,18000,0
129,129,46,3,2,2012,4120,7430,0,18000,1926000,0,0,243000,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
