Cruce,pais,buque,Est,lat(g) ,lat(m) ,long(g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloasensor , cloa , feop 
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.843,33.363,25.156,5.687,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12.783,33.36,25.164,5.701,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12.751,33.358,25.17,5.706,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12.664,33.356,25.185,5.713,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12.601,33.354,25.196,5.718,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.563,33.353,25.203,5.707,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12.523,33.352,25.209,5.709,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12.472,33.351,25.218,5.705,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12.434,33.349,25.224,5.718,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12.322,33.345,25.243,5.723,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12.203,33.34,25.262,5.736,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12.147,33.339,25.271,5.735,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.052,33.402,25.145,5.693,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.052,33.403,25.145,5.684,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.051,33.403,25.145,5.685,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13.052,33.403,25.145,5.687,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13.047,33.402,25.146,5.67,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.043,33.403,25.147,5.686,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13.03,33.401,25.15,5.663,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12.978,33.402,25.159,5.65,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12.975,33.405,25.163,5.645,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.974,33.408,25.165,5.646,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12.922,33.42,25.189,5.662,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12.618,33.406,25.23,5.687,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12.477,33.39,25.244,5.672,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12.481,33.384,25.243,5.725,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.372,33.384,25.263,5.716,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12.322,33.396,25.284,5.716,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11.937,33.425,25.372,5.735,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11.895,33.458,25.411,5.679,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11.782,33.539,25.495,5.594,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.626,33.578,25.554,5.428,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11.598,33.586,25.566,5.4,0,0,0
